PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Wei, XZ; Jiang, MX				Wei, Xinzeng; Jiang, Mingxi			Meta-analysis of genetic representativeness of plant populations under ex situ conservation in contrast to wild source populations	CONSERVATION BIOLOGY												Ex situ conservation is widely used to protect wild plant species from extinction. However, it remains unclear how genetic variation of ex situ plant collections reflects diversity of wild source populations. We conducted a global meta-analysis of the genetic representativeness of ex situ populations by comparing genetic diversity (i.e., AR, allelic richness; H-e, expected heterozygosity; PPB, percent polymorphic bands; and SWI, Shannon-Winner index), inbreeding coefficient (F-IS), and genetic differentiation between ex situ plant collections and their wild source populations. Genetic diversity (i.e., H-e, PPB, and SWI) was significantly lower in ex situ populations than their wild source populations, whereas genetic differentiation between ex situ and wild populations (ex-situ-wild F-ST), but not that among ex situ populations, was significantly higher than among wild populations. Outcrossing species, but not those with mixed mating system, had significantly lower genetic diversity in ex situ populations and significantly higher ex-situ-wild F-ST. When the collection size for ex situ conservation was >= 30 or 50, PPB, H-e, and ex-situ-wild F-ST were not significantly different between ex situ and wild populations, indicating a relatively high genetic representativeness. Collecting from the entire natural distribution range and mixing collections from different sources could significantly increase the genetic representativeness of ex situ populations. Type of ex situ conservation (i.e., planting or seed bank) had no effect on genetic representativeness. The effect size of H-e decreased and the effect size of ex-situ-wild F-ST increased as the duration of ex situ conservation increased. Our results suggest that current ex situ plant collections do not effectively capture the genetic variation of wild populations. Low genetic representativeness of ex situ populations was caused by both initial incomplete sampling from wild populations and genetic erosion during ex situ conservation. We emphasize that it is necessary to employ more thorough sampling strategies in future collecting efforts and to add new individuals where needed.				ming xi, jiang/E-6344-2017	ming xi, jiang/0000-0002-9719-3093; Wei, Xinzeng/0000-0002-5084-9390												0888-8892	1523-1739				FEB	2021	35	1					12	23		10.1111/cobi.13617		DEC 2020					WOS:000603487800001	32840007					
J	Schaeffer, AH; Silveira, DC; Schaeffer, OA; Langaro, NC; Vargas, L				Schaeffer, Afonso Henrique; Silveira, Diogenes Cecchin; Schaeffer, Otavio Augusto; Langaro, Nadia Canali; Vargas, Leandro			Seed germination behavior of glyphosate-resistant and susceptible Italian ryegrass (Lolium multiflorum Lam.)	WEED BIOLOGY AND MANAGEMENT												Ryegrass (Lolium multiflorum Lam.) is one of the most difficult annual weeds to control in cultivation systems worldwide, especially in temperate regions. The widespread use of herbicides in the past two decades has selected resistant biotypes of ryegrass in crops in Southern Brazil. Ryegrass seeds are dormant when disseminated and germination can be staggered over time (crop-growing season). Knowledge of the germination behavior of seeds from herbicide-resistant plants has been little studied, but it would be very useful in integrated weed management. Thus, this study aimed to characterize the dynamics of the soil seed bank of two biotypes of L. multiflorum, one glyphosate-resistant and the other glyphosate-susceptible, under a no-tillage system. The treatments were arranged in a bifactorial scheme, using seeds from biotypes (glyphosate-resistant and glyphosate-susceptible) with monthly periods of removal from field (one to 12 months). Seeds of each biotype were placed on the soil surface and covered with soil and straw to simulate no-till conditions. The percentage of germinated, dormant, and dead seeds was evaluated every 30 days. The ryegrass seed bank of glyphosate-susceptible and glyphosate-resistant biotypes was reduced to 11 and 15% of dormant seeds, respectively, at the end of 12 months. However, there was no variation in germination, dormancy, and seed mortality between susceptible and glyphosate-resistant ryegrass. Seeds of glyphosate-resistant biotype and susceptible showed germination behavior with similar dynamics in the soil over a period of 12 months.				; Silveira, Diogenes Cecchin/V-7277-2017	Schaeffer, Afonso Henrique/0000-0001-9671-8081; Silveira, Diogenes Cecchin/0000-0001-6653-4839												1444-6162	1445-6664				MAR	2021	21	1					3	10		10.1111/wbm.12218		DEC 2020					WOS:000601093600001						
J	Ye, XH; Gao, SQ; Du, J; Liu, GF; Cui, QG; Huang, ZY				Ye, Xuehua; Gao, Shuqin; Du, Juan; Liu, Guofang; Cui, Qingguo; Huang, Zhenying			Responses of aboveground and belowground net primary productivity to sand burial and enhanced precipitation in a semiarid desertified steppe	LAND DEGRADATION & DEVELOPMENT												Sand burial and precipitation drive plant community structure and functions in semiarid desertified areas, while net primary productivity (NPP) is one of the most important indicators of plant community function. However, how NPP responds to sand burial in combination with changed precipitation regimes is still unclear. We conducted a field experiment with simultaneous sand burial and enhanced precipitation treatments to test the responses of both aboveground net primary productivity (ANPP) and belowground net primary productivity (BNPP) in a semiarid desertified steppe in North China. The results showed that sand burial significantly affected the community ANPP but had no significant effects on the community BNPP. Sand burial increased the ANPP of rhizome grass and decreased the ANPP of perennial herbs, bunchgrass and annual herbs, with no significant effects on legume herbs, while enhanced precipitation did not significantly affect the community ANPP and BNPP or the ANPP of all five plant functional types (PFTs). Sand burial combined with enhanced precipitation mediated the vertical allocation of BNPP in the community. There are multiple significant relationships between the ANPP of different PFTs and the BNPP among the different soil layers. These findings will be conducive to understanding the consequences of grassland desertification under the background of climate change, with corresponding implications for grassland management and vegetation restoration in semiarid desertified areas.					Huang, Zhenying/0000-0002-1309-8591; YE, Xuehua/0000-0002-5625-9877												1085-3278	1099-145X				MAR	2021	32	5					1951	1960		10.1002/ldr.3845		DEC 2020					WOS:000600877200001						
J	Malavert, C; Batlla, D; Benech-Arnold, RL				Malavert, Cristian; Batlla, Diego; Benech-Arnold, Roberto L.			Light sensitivity changes during dormancy induction in Polygonum aviculare L. seeds: development of a predictive model of annual changes in seed-bank light sensitivity in relation to soil temperature	WEED RESEARCH												Seeds of weed species require light to terminate dormancy and give way to germination. It is documented that sensitivity to light in Polygonum aviculare seeds increases during dormancy release. However, it is not known whether this sensitivity is lost during dormancy induction. The aim of this study was to investigate and quantify the changes in dormancy level of P. aviculare seeds during secondary dormancy induction as measured by changes in sensitivity to light in relation to soil temperature. Polygonum aviculare seeds were stratified at 5oC until obtaining a minimum dormancy level. The seeds were then induced into secondary dormancy by burying them in pots containing soil which were stored at 10, 15, 20 and 25oC for different time-periods. Polygonum aviculare seeds were exhumed periodically, exposed to different light treatments (Pfr/Ptotal-pythochrome = 0.76, 0.03 and 7.6 x 10(-4)) or darkness, and incubated at 15oC to test germination. Our results showed that the high sensitivity to light acquired during dormancy release and decreased during dormancy induction at a rate that was temperature-dependent. These changes in sensitivity to light were quantified as a function of the accumulation of thermal-time over a base-temperature of 7.9oC during dormancy induction and were coupled with previous thermal-time index established for the dormancy release process. Both thermal-time indices allowed us to develop a model for the prediction of cyclic changes in sensitivity to light in relation to the thermal environment experienced by the seeds during burial. This model constitutes a valuable tool for predicting weed emergence in the field and to design management practices accordingly.					Malavert, Cristian/0000-0002-6565-2638												0043-1737	1365-3180				APR	2021	61	2					115	125		10.1111/wre.12463		DEC 2020					WOS:000602683800001						
J	Gijsman, F; Vitt, P				Gijsman, Finote; Vitt, Pati			Seed size and capitulum position drive germination and dormancy responses to projected warming for the threatened dune endemic Cirsium pitcheri (Asteraceae)	ECOLOGY AND EVOLUTION												Among coastal plant species at risk from rapid environmental changes is the North American Great Lakes dune endemic Cirsium pitcheri. Despite being listed as federally threatened, little is known about how C. pitcheri seed attributes influence germination and dormancy-break patterns in the context of climate change. Following a previous work where we found differences in the number and weight of C. pitcheri seeds among capitulum positions and study sites, here we examine the effects of seed attributes (capitulum position, seed weight, and site of origin) on the proportion and timing of C. pitcheri seed germination under temperature treatments that simulate projected warming in the Great Lakes (20/10, 25/10, and 30/10 degrees C day/night). Our results demonstrate that C. pitcheri produces diverse cohorts of seeds with seed attributes that significantly influence the timing and probability of germination over a 3-year soil seed bank. Cirsium pitcheri seed germination proportions were highest at 20 degrees C and decreased successively at 25 and 30 degrees C. Seeds from terminal capitula also had higher germination proportions and took longer to germinate than those from secondary capitula. Lastly, the effect of seed weight on germination probability depended on site of origin and capitulum position, with all effects varying in size and significance over time. Ultimately, our results highlight the considerable differences in germination patterns exhibited by seeds from different capitulum positions and sites of origin and provide insight into the dormancy-break patterns that C. pitcheri might experience under predicted temperature rise in the Great Lakes region of North America.					Gijsman, Finote/0000-0001-6338-2542												2045-7758					JAN	2021	11	2					955	966		10.1002/ece3.7109		DEC 2020					WOS:000600567700001	33520178					
J	Hiiesalu, I; Klimesova, J; Dolezal, J; Mudrak, O; Gotzenberger, L; Hornik, J; de Bello, F				Hiiesalu, Inga; Klimesova, Jitka; Dolezal, Jiri; Mudrak, Ondrej; Gotzenberger, Lars; Hornik, Jan; de Bello, Francesco			Hidden below-ground plant diversity buffers against species loss during land-use change in species-rich grasslands	JOURNAL OF VEGETATION SCIENCE												Questions Theory suggests that while plant diversity of grasslands decreases in response to increased competition for light, many plant species persist below-ground even in the temporary absence of shoots. Thus, we hypothesized that below-ground, diversity is less affected by increased competition during land-use change compared to above-ground. Location Species-rich, oligotrophic grasslands in the Zelezne hory Mts, eastern Bohemia, Czech Republic. Methods We quantified above- and below-ground plant richness (roots and rhizomes, seed and bud bank) in grasslands subjected to seven years of experimental abandonment and fertilization. We used conventional species identification to measure richness above-ground and 454 sequencing of the chloroplast trnL (UAA) gene to measure richness of roots and rhizomes; additionally, we used the shoot emergence method to measure soil seed and bud bank richness. Results While above-ground richness decreased with abandonment and fertilization, below-ground richness remained less affected or even increased compared to the control (traditional mowing). Overall, compared to above-ground the proportion of plant species found only below-ground as roots and rhizomes increased, particularly in the abandonment with fertilization treatment. Conclusions Below-ground plant diversity could potentially buffer against biodiversity losses during short-term land-use change. Our findings highlight that measuring the complete plant species diversity improves our understanding of processes that underlie plant diversity and coexistence and refine predictions of vegetation responses to biodiversity threats.				Mudrak, Ondrej/H-1614-2014; de Bello, Francesco/H-1582-2014	Mudrak, Ondrej/0000-0001-7775-0414; Dolezal, Jiri/0000-0002-5829-4051; Hiiesalu, Inga/0000-0002-5457-2376; de Bello, Francesco/0000-0001-9202-8198												1100-9233	1654-1103				JAN	2021	32	1								10.1111/jvs.12971		DEC 2020					WOS:000599079700001						
J	Palma, AC; Goosem, M; Fensham, RJ; Goosem, S; Preece, ND; Stevenson, PR; Laurance, SGW				Palma, Ana C.; Goosem, Miriam; Fensham, Roderick J.; Goosem, Steve; Preece, Noel D.; Stevenson, Pablo R.; Laurance, Susan G. W.			Dispersal and recruitment limitations in secondary forests	JOURNAL OF VEGETATION SCIENCE												Aims Secondary forests are expanding rapidly in tropical regions and could play an important role in conserving native biodiversity and stabilising global climate. The recovery rate of plant communities in secondary forests varies considerably due to mechanisms associated with seed dispersal and recruitment dynamics. We explored these mechanisms along a chronosequence of tropical secondary forests in an agricultural landscape that was extensively cleared. Location We explored these mechanisms along a chronosequence of secondary forests in tropical Australia. Methods We used selected plant traits to characterise plant species and compared community composition between demographic stages (i.e. soil seedbank, understorey and overstorey) and forest age categories. We collected soil samples to assess seedbank composition and used quadrants and transects to assess understorey and overstorey plant community composition at each site. Results For all demographic stages, we found that young (4-12 years) and intermediate-aged forests (16-20 years) were dominated by early successional, small-seeded species and traits associated with disturbed forests. In old secondary forest (23-34 years) some traits associated with late successional stages were present (e.g. large seeds, trees). However, the traits and species composition of mature forests remained distinct from all secondary forests. Across the chronosequence, forest age and demographic stage were significant factors in discriminating species and trait composition between forest sites. We found clear plant community similarities within demographic stages, despite the forest age differences. This suggests stronger limitations to dispersal and recruitment between demographic stages than between forest ages. Conclusions Our results show that secondary forests in this region assemble slowly with dispersal and recruitment limitations constraining their recovery. Although a successional transition in species and plant traits composition along the chronosequence is clear, similarities to mature forests remain low. The slow recovery of late successional and large-seeded species in these secondary forests suggests that active restoration of such species may be necessary if we want to enhance the capacity of these forests to conserve native biodiversity.					Palma, Ana/0000-0003-2083-3037												1100-9233	1654-1103				JAN	2021	32	1							e12975	10.1111/jvs.12975		DEC 2020					WOS:000599072100001						
J	Atsbha, T; Wayu, S; Gebretsadkan, N; Giday, T; Gebremariam, T				Atsbha, Tesfay; Wayu, Solomon; Gebretsadkan, Nguse; Giday, Tsgehiwet; Gebremariam, Tesfay			Exclosure land management for restoration of herbaceous species in degraded communal grazing lands in Southern Tigray	ECOSYSTEM HEALTH AND SUSTAINABILITY												Herbaceous species contribute to the largest proportion of the fodder. Despite the profound benefits obtained, anthropogenic disturbances are hindering its development. On the other hand, to ensure the sustainability of herbaceous species, communities and governments have been putting efforts in managing herbaceous species through the establishment of area exclosure (AE). Thus, the main importance of this research paper is to provide information about the role of AE on the restoration of herbaceous species. The objective of this study was to assess the effect of restoration on the herbaceous species following AE established on communal grazing land (CGL). A total of 124 and 73 quadrats of 1x1m(2) size were laid down at 50 m intervals along parallel transects at AE and CGL, respectively, and data were analyzed by t-test unequal variances using R-software. AE displayed higher plant species richness and diversity than the CGL and showed a significant difference (p<0.001). Similarly, the AE had significantly (p< 0.001) higher forage biomass than the CGL. In general, herbaceous species diversity index and species richness were significantly (p< 0.001) higher in the AE compared to the CGL. The study concluded that effective AE has the potential to enhance the restoration of herbaceous species and hence forage productivity.																	2096-4129	2332-8878				DEC 16	2020	6	1							1829993	10.1080/20964129.2020.1829993							WOS:000587328900001						
J	Li, W; Dou, ZG; Cui, LJ; Zhao, XS; Zhang, MY; Zhang, Y; Gao, CJ; Yang, Z; Lei, YR; Pan, X				Li, Wei; Dou, Zhiguo; Cui, Lijuan; Zhao, Xinsheng; Zhang, Manyin; Zhang, Yan; Gao, Changjun; Yang, Zheng; Lei, Yinru; Pan, Xu			Soil fauna diversity at different stages of reed restoration in a lakeshore wetland at Lake Taihu, China	ECOSYSTEM HEALTH AND SUSTAINABILITY												Introduction: Wetland soil fauna support material cycling and restoration processes in wetland ecosystems. In our study, we observed variations in wetland soil fauna on the shores of Lake Taihu, China. We examined the relationships between fauna and major environmental factors, and looked at the short-and long-term changes in reed wetlands under restoration and in the natural reed lakeshore. Outcomes: We identified 93 groups of soil fauna in different wetlands and found significant differences in the lakeshore wetlands' soil fauna assemblages, depending on the length of the restoration period. By analyzing the soil fauna community evenness, dominance, number of taxa, and diversity, we found minimal seasonal variation in the soil fauna community diversity and abundance. The abundance of soil fauna in the sites under restoration decreased with depth below the soil surface. The reed restoration was obvious in the succession of the soil fauna groups in the long-term site. Although the restoration had an overall positive long-term effect on the soil fauna communities, there were no obvious short-term changes in the number of individuals. Conclusion: The study explored various potential measures to restore soil fauna in the Lake Taihu wetland and developed a theoretical basis for restoring the lakeshore wetland ecosystem.				Pan, Xu/W-1607-2017; Zhang, Manyin/AAK-5171-2020	Pan, Xu/0000-0003-3733-1981; Dou, Zhiguo/0000-0001-8031-4330; LI, WEI/0000-0002-2133-9287												2096-4129	2332-8878				DEC 16	2020	6	1							1722034	10.1080/20964129.2020.1722034							WOS:000514379300001						
J	Logofet, DO; Kazantseva, ES; Onipchenko, VG				Logofet, Dmitrii O.; Kazantseva, Elena S.; Onipchenko, Vladimir G.			Seed bank as a persistent problem in matrix population models: From uncertainty to certain bounds	ECOLOGICAL MODELLING												Errors in the construction of matrix population models may lead to erroneous conclusions from modeling case studies, and neglecting the seed bank as a stage in the stage-structured model is a kind of 'persistent problem' common to many models of plant species. The problem arises due to uncertainties in the seed-related parameters that cannot be reliably estimated from empirical data. We investigate the consequences that including a seed bank into the underlying life cycle graph may have on lambda(1), the dominant eigenvalue of the calibrated matrix in the "no-seeds" model. Vital rates of that model were calibrated on a time series of data of the 'identified individuals' type gained in our former, 11-year case study on a local population of Androsace albana, a short-lived perennial inhabiting alpine heaths. The calibration has resulted in 10 successive population projection matrices expressed in rational numbers, with a variety of lambda 1s distant from 1 by various amounts in both directions. To include the seed bank, we propose an integer-valued formalism with the following three unknown S-related parameters: S(t), the number of dormant seeds able to germinate at the current year of observation, t; S-p(t), the number of seeds produced this year, and S-m(t), the total number of seeds lost this year for various reasons. These preserve the rational form of all the other vital rates and holding the calibration equations true in the integer numbers, too. Some observable traits of A. albana plants help establish certain finite ranges of the three S-related parameters, and they enable finding the ensuing ranges of model outcomes by merely enumerating all the feasible triples. In this way, we get answers to pertinent questions about the lambda(1) of the seed model vs. its "no-seeds" counterpart and give a mathematical explanation of what we have obtained. An important conclusion is that the seed bank can principally not change the population growth into decline, nor vice versa, within the feasible ranges of parameters.																	0304-3800	1872-7026				DEC 15	2020	438								109284	10.1016/j.ecolmodel.2020.109284							WOS:000595067700011						
