"Author","Year","Title","Journal","Doi","URL"
"Wei, XZ; Jiang, MX",2021,"Meta-analysis of genetic representativeness of plant populations under ex situ conservation in contrast to wild source populations","CONSERVATION BIOLOGY","10.1111/cobi.13617","http://doi.org/10.1111/cobi.13617"
"Schaeffer, AH; Silveira, DC; Schaeffer, OA; Langaro, NC; Vargas, L",2021,"Seed germination behavior of glyphosate-resistant and susceptible Italian ryegrass (Lolium multiflorum Lam.)","WEED BIOLOGY AND MANAGEMENT","10.1111/wbm.12218","http://doi.org/10.1111/wbm.12218"
"Ye, XH; Gao, SQ; Du, J; Liu, GF; Cui, QG; Huang, ZY",2021,"Responses of aboveground and belowground net primary productivity to sand burial and enhanced precipitation in a semiarid desertified steppe","LAND DEGRADATION & DEVELOPMENT","10.1002/ldr.3845","http://doi.org/10.1002/ldr.3845"
"Malavert, C; Batlla, D; Benech-Arnold, RL",2021,"Light sensitivity changes during dormancy induction in Polygonum aviculare L. seeds: development of a predictive model of annual changes in seed-bank light sensitivity in relation to soil temperature","WEED RESEARCH","10.1111/wre.12463","http://doi.org/10.1111/wre.12463"
"Gijsman, F; Vitt, P",2021,"Seed size and capitulum position drive germination and dormancy responses to projected warming for the threatened dune endemic Cirsium pitcheri (Asteraceae)","ECOLOGY AND EVOLUTION","10.1002/ece3.7109","http://doi.org/10.1002/ece3.7109"
"Hiiesalu, I; Klimesova, J; Dolezal, J; Mudrak, O; Gotzenberger, L; Hornik, J; de Bello, F",2021,"Hidden below-ground plant diversity buffers against species loss during land-use change in species-rich grasslands","JOURNAL OF VEGETATION SCIENCE","10.1111/jvs.12971","http://doi.org/10.1111/jvs.12971"
"Palma, AC; Goosem, M; Fensham, RJ; Goosem, S; Preece, ND; Stevenson, PR; Laurance, SGW",2021,"Dispersal and recruitment limitations in secondary forests","JOURNAL OF VEGETATION SCIENCE","10.1111/jvs.12975","http://doi.org/10.1111/jvs.12975"
"Atsbha, T; Wayu, S; Gebretsadkan, N; Giday, T; Gebremariam, T",2020,"Exclosure land management for restoration of herbaceous species in degraded communal grazing lands in Southern Tigray","ECOSYSTEM HEALTH AND SUSTAINABILITY","10.1080/20964129.2020.1829993","http://doi.org/10.1080/20964129.2020.1829993"
"Li, W; Dou, ZG; Cui, LJ; Zhao, XS; Zhang, MY; Zhang, Y; Gao, CJ; Yang, Z; Lei, YR; Pan, X",2020,"Soil fauna diversity at different stages of reed restoration in a lakeshore wetland at Lake Taihu, China","ECOSYSTEM HEALTH AND SUSTAINABILITY","10.1080/20964129.2020.1722034","http://doi.org/10.1080/20964129.2020.1722034"
"Logofet, DO; Kazantseva, ES; Onipchenko, VG",2020,"Seed bank as a persistent problem in matrix population models: From uncertainty to certain bounds","ECOLOGICAL MODELLING","10.1016/j.ecolmodel.2020.109284","http://doi.org/10.1016/j.ecolmodel.2020.109284"
"Dairel, M; Fidelis, A",2020,"The presence of invasive grasses affects the soil seed bank composition and dynamics of both invaded and non-invaded areas of open savannas","JOURNAL OF ENVIRONMENTAL MANAGEMENT","10.1016/j.jenvman.2020.111291","http://doi.org/10.1016/j.jenvman.2020.111291"
"Kelleway, JJ; Iles, JA; Kobayashi, T; Ling, JNE",2021,"Resilience of a native soil seed bank in a floodplain lake subjected to cropping, grazing and extended drought","MARINE AND FRESHWATER RESEARCH","10.1071/MF19386","http://doi.org/10.1071/MF19386"
"De Cauwer, B; Biesemans, N; De Ryck, S; Delanote, L; Dewaele, K; Willekens, K; Vanden Nest, T; Reheul, D",2021,"Effects of soil and crop management practices and pedo-hydrological conditions on the seedbank size of Galinsoga spp. in organic vegetable fields","WEED RESEARCH","10.1111/wre.12457","http://doi.org/10.1111/wre.12457"
