PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	PEDERSON, RL; VANDERVALK, AG				PEDERSON, RL; VANDERVALK, AG			VEGETATION CHANGE AND SEED BANKS IN MARSHES - ECOLOGICAL AND MANAGEMENT IMPLICATIONS	TRANSACTIONS OF THE NORTH AMERICAN WILDLIFE AND NATURAL RESOURCES CONFERENCE																													0078-1355						1984	49						271	280									WOS:A1984AEK5700033						
J	CONN, JS; COCHRANE, CL; DELAPP, JA				CONN, JS; COCHRANE, CL; DELAPP, JA			SOIL SEED BANK CHANGES AFTER FOREST CLEARING AND AGRICULTURAL USE IN ALASKA	WEED SCIENCE																													0043-1745						1984	32	3					343	347		10.1017/S0043174500059105							WOS:A1984SR03300012						
J	WILLEMS, JH				WILLEMS, JH			THE SEED BANK AS A PART OF THE VEGETATION	ACTA BOTANICA NEERLANDICA																													0044-5983						1983	32	3					243	243									WOS:A1983QS43400043						
J	OOMES, MJM; HAM, M				OOMES, MJM; HAM, M			SOME METHODS OF DETERMINING THE SEED BANK	ACTA BOTANICA NEERLANDICA																													0044-5983						1983	32	3					244	244									WOS:A1983QS43400044						
J	VANBREEMEN, AMM; VANLEEUWEN, BH				VANBREEMEN, AMM; VANLEEUWEN, BH			THE SEED BANK OF 3 SHORT-LIVED MONOCARPIC SPECIES, CIRSIUM-VULGARE (COMPOSITAE), ECHIUM-VULGARE AND CYNOGLOSSUM-OFFICINALE (BORAGINACEAE)	ACTA BOTANICA NEERLANDICA																													0044-5983						1983	32	3					245	246									WOS:A1983QS43400046						
J	BAKKER, JP				BAKKER, JP			SEED BANK AND SPECIES-DIVERSITY IN MOIST GRASSLAND COMMUNITIES	ACTA BOTANICA NEERLANDICA																													0044-5983						1983	32	3					246	246									WOS:A1983QS43400047						
J	VYVEY, Q				VYVEY, Q			STUDY OF THE SEED BANK IN SCHOENO-JUNCETUM SUBNODULOSI ALL-1922 AND IN MOLINIETUM CAERULEAE ALL-1922	ACTA BOTANICA NEERLANDICA																													0044-5983						1983	32	3					246	247									WOS:A1983QS43400048						
J	SCHMIDT, KP; LAWLOR, LR				SCHMIDT, KP; LAWLOR, LR			GROWTH-RATE PROJECTION AND LIFE-HISTORY SENSITIVITY FOR ANNUAL PLANTS WITH A SEED BANK	AMERICAN NATURALIST																													0003-0147						1983	121	4					525	539		10.1086/284080							WOS:A1983QJ29800005						
J	FOX, JF				FOX, JF			GERMINABLE SEED BANKS OF INTERIOR ALASKAN TUNDRA	ARCTIC AND ALPINE RESEARCH																	Fox, John/0000-0003-4386-010X												0004-0851						1983	15	3					405	411		10.2307/1550835							WOS:A1983RN52100011						
J	ANDREW, MH; MOTT, JJ				ANDREW, MH; MOTT, JJ			ANNUALS WITH TRANSIENT SEED BANKS - THE POPULATION BIOLOGY OF INDIGENOUS SORGHUM SPECIES OF TROPICAL NORTHWEST AUSTRALIA	AUSTRALIAN JOURNAL OF ECOLOGY																													0307-692X						1983	8	3					265	276									WOS:A1983RR10600005						
J	HOPKINS, MS; GRAHAM, AW				HOPKINS, MS; GRAHAM, AW			THE SPECIES COMPOSITION OF SOIL SEED BANKS BENEATH LOWLAND TROPICAL RAINFORESTS IN NORTH QUEENSLAND, AUSTRALIA	BIOTROPICA																													0006-3606						1983	15	2					90	99		10.2307/2387950							WOS:A1983RQ00300002						
J	NICHOLSON, A; KEDDY, PA				NICHOLSON, A; KEDDY, PA			THE DEPTH PROFILE OF A SHORELINE SEED BANK IN MATCHEDASH LAKE, ONTARIO	CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE																													0008-4026						1983	61	12					3293	3296		10.1139/b83-368							WOS:A1983SG47400036						
