PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Ding, XQ; Wang, YF; Yu, SX				Ding, Xiaoqiu; Wang, Yongfan; Yu, Shixiao			NO EVIDENCE FOR A POSITIVE RESPONSE OF BIOMASS PRODUCTION TO SPECIES DIVERSITY IN AN EXPERIMENTAL GRASSLAND	POLISH JOURNAL OF ECOLOGY												Plant diversity is generally thought to enhance productivity, driven by either (1) chance inclusion of highly productive species in more diverse communities or (2) niche-based resource acquisition with competitive interactions increasing resource use efficiency. Here, we ask whether weeding, as employed in most experiments to date, might contribute to the positive diversity-productivity relationship reported for many grasslands. Using all 82 species from our local pool, we constructed 357 experimental grassland plots (2 x 4 m each), arranged as a completely randomized experiment in an arable field prepared to minimize existing seed bank. The plots were sown to vary species richness (1, 2, 4, 6, 8, 10, 15, 20, 25, 30, 35 or 40 species) and were maintained under both ambient conditions and experimental drought. A single monoculture plot was maintained for all 82 species, and each of the other eleven species richness levels was replicated 25 times. Plots were maintained strictly without weeding, and aboveground biomass was measured at 17, 19, 27 and 29 months after the start of this experiment. No single measure of biodiversity was significantly correlated with productivity consistently across all four sampling periods. Furthermore, there were only weak overall effects of six biodiversity variables (the species richness planted, observed, and sampled; Shannon diversity, effective species richness and evenness in the sampled area) on productivity under either precipitation treatment. Regression analysis identified no equation that used a consistent subset of the biodiversity measures as predictors. In view of these transient and insubstantial effects, results from previous experiments that employed weeding treatments are suspect as tests of the hypothesis that biodiversity has positive effects on productivity.					Yu, Shixiao/0000-0003-1943-0185												1505-2249						2012	60	4					667	675									WOS:000312519300002						
J	Ribeiro, LM; Oliveira, TGS; Carvalho, VS; Silva, PO; Neves, SC; Garcia, QS				Ribeiro, L. M.; Oliveira, T. G. S.; Carvalho, V. S.; Silva, P. O.; Neves, S. C.; Garcia, Q. S.			The behaviour of macaw palm (Acrocomia aculeata) seeds during storage	SEED SCIENCE AND TECHNOLOGY												A hard endocarp and physiological dormancy make studies of the propagation and ex situ conservation of macaw palm seeds difficult and necessitate adaptations to existing protocols for classification of seed behaviour during storage. In vitro culture was used to evaluate the viability of embryos from seeds dehydrated to water content levels of 10 and 5% (fresh weight basis; seeds dried over silica gel at 20 degrees C and in a drying oven at 35 degrees C) and from seeds dried to 5% water content and stored for 90 days at -196, -20, 10 and 35 degrees C, and at room temperature (average 22 degrees C). Fruits were also kept in the open for one year under natural conditions, or were buried, left in the shade or stored in a cold-chamber (10 degrees C). Embryo viability and seed water content were determined before storage, after 15 days, and subsequently on a monthly basis over 12 months. The embryos maintained their viability when the seeds were subjected to dehydration by the two methods (silica and oven) and low temperatures (-196, -20, 10 degrees C). Storing the fruits at 10 degrees C maintained 85% embryo viability, has the advantage of not requiring prior processing and can thus be used for ex situ conservation. Burial and storage under shade conditions maintained 67% seed viability, while 34% of the seeds stored in the open remained viable. Macaw palm seeds are orthodox and can potentially form soil seed banks.				Garcia, Queila/B-5429-2014; Oliveira, Tulio Gabriel Soares/B-7530-2013; Ribeiro, Leonardo M./G-9875-2012	Garcia, Queila/0000-0002-7137-788X; 												0251-0952	1819-5717					2012	40	3					344	353		10.15258/sst.2012.40.3.06							WOS:000312609900006						
J	Mengardo, ALT; Figueiredo, CL; Tambosi, LR; Pivello, VR				Mengardo, Ana L. T.; Figueiredo, Cristiano L.; Tambosi, Leandro R.; Pivello, Vania R.			Comparing the establishment of an invasive and an endemic palm species in the Atlantic rainforest	PLANT ECOLOGY & DIVERSITY												Background: Biological invasions are one of the major causes of biodiversity loss, yet remain rather understudied in tropical environments. The Australian palm tree Archontophoenix cunninghamiana was introduced into Brazil for ornamental purposes, but has become an invasive species in urban and suburban forest patches. The substitution of A. cunninghamiana by the native palm Euterpe edulis has been proposed as a management action. Aims: We aimed to evaluate the regeneration potential of these two palm species in an Atlantic forest remnant in south-eastern Brazil where both species occur. Methods: We compared seedling establishment and seed longevity of both species through seed sowing, and also measured the contribution of A. cunninghamiana to the local seed rain and seed bank. Results: Nearly half of the non-anemochoric diaspores collected from the seed rain belonged to A. cunninghamiana, which represented a high propagule pressure in the community. The distribution of the alien palm seeds in the seed rain correlated with the distribution of nearby young and adult individuals inside the forest. Neither A. cunninghamiana nor E. edulis appeared to have a persistent seed bank in a burial experiment; seedling survival experiments suggested a much better performance for A. cunninghamiana, which had a survival rate of ca. 30% compared with a rate of only 3.5% for E. edulis. Conclusions: The results suggest a higher regeneration capacity for the alien palm over the native species when co-occurring in a forest fragment. Management actions are thus proposed to reduce a potential biological invasion process.				Tambosi, Leandro R/B-2359-2013; Pivello, Vania Regina/B-5118-2013	Tambosi, Leandro R/0000-0001-5486-7310; Pivello, Vania Regina/0000-0001-8063-772X												1755-0874						2012	5	3					345	354		10.1080/17550874.2012.735271							WOS:000312454900008						
B	Zhu, DG; Ni, HW			IEEE	Zhu Daoguang; Ni Hongwei			Compositional Features and Their Relationships between Soil Seed Bank and Vegetation of Deyeuxia Angustifolia Community in Sanjiang Plain	2012 WORLD AUTOMATION CONGRESS (WAC)					World Automation Congress (WAC)	JUN 24-28, 2012	Puerto Vallarta, MEXICO	TSI Enterprises Inc				Three different layers of soil in Deyeuxia angutifolia community, namely 0-5 cm, 5-10 cm and larger than 10 cm in Sanjiang Plain were selected to study the compositional features of soil seed bank and their relationships with vegetation with the continuous germination experiment and Srensen index. Results showed that the potential germination species in three different Deyeuxia angutifolia community were 38 (which belong to 21 families, 34 genera), 28 (17 families, 24 genera) and 37 (19 families, 34 genera) respectively. There were significant differences existed in their compositional features between the soil seed bank and vegetation, and the range of their similarity indexes were less than 50 %. These differences may be contributed to the different water condition of Deyeuxia angutifolia communities in Sanjiang Plain. But it need further research to confirm our finding. Nevertheless, this study can serves as the theoretical basis for the biodiversity protection and the degraded wetland ecosystem restoration in Sanjiang Plain.																			978-1-4673-4497-5				2012																	WOS:000310335802195						
J	Low, WA; McNally, A; Davies, BK; Greenslade, P				Low, W. A.; McNally, A.; Davies, B. K.; Greenslade, Penelope			Changes in vegetation over nine years after rehabilitating a linear feature in Australia's arid zone	RANGELAND JOURNAL												A 36-km road built in 1961 between Ayers Rock (Uluru) and the Olgas (Kata Tjuta), Northern Territory, Australia had seriously deteriorated by the 1980s. A newly aligned road, which was ecologically located and avoid sensitive Aboriginal sites, was completed early in 1991. The old road was rehabilitated by deep ripping, filling with imported sand and topsoil and by grading logs and windrows(1) over the new surface. This paper reports on the effectiveness of the rehabilitation technique used in reinstating vegetation over 8 years and considers whether this rehabilitation aim was met. Plant colonisation and succession were monitored on 15 paired plots, one in the rehabilitated road and the other in the adjacent undisturbed habitat (with four exceptions) and also on the windrows. Sites at eight creek crossings and those subject to fire and rabbit activity were also monitored. Different landscape units responded in different ways to the rehabilitation. Herbaceous species from imported sand plain fill and top soil eventually dominated the road where they were introduced and were likely to persist in most areas because of local recruitment. The revegetation of the road has stabilised the old road surface as observed by the reduced erosion although succession did not always approach the reference site communities because of a greater resemblance to the Simpson Land System. Over the 8 years of monitoring considerable changes in vegetation occurred and are probably continuing. Only the road sites in the Simpson Land System approached the condition of the adjacent undisturbed vegetation because the vegetation of the other two land systems became closer to that of the Simpson Land System rather than to that of the surrounding vegetation. It is recommended that the introduced Buffel grass, known to alter landscape-level processes by reducing native herbaceous species and increasing risk of high intensity wildfire, which is most evident at creek crossings, should be controlled. Recommendations are made for improved management.																	1036-9872						2012	34	4					399	414		10.1071/RJ12033							WOS:000312390200007						
J	Bebawi, FF; Campbell, SD; Mayer, RJ				Bebawi, Faiz F.; Campbell, Shane D.; Mayer, Robert J.			Persistence of bellyache bush (Jatropha gossypifolia L.) soil seed banks	RANGELAND JOURNAL												Bellyache bush (Jatropha gossypifolia L.) is an invasive shrub that adversely impacts agricultural and natural systems of northern Australia. While several techniques are available to control bellyache bush, depletion of soil seed banks is central to its management. A 10-year study determined the persistence of intact and ant-discarded bellyache bush seeds buried in shade cloth packets at six depths (ranging from 0 to 40 cm) under both natural rainfall and rainfall-excluded conditions. A second study monitored changes in seedling emergence over time, to provide an indication of the natural rate of seed bank depletion at two sites (rocky and heavy clay) following the physical removal of all bellyache bush plants. Persistence of seed in the burial trial varied depending on seed type, rainfall conditions and burial depth. No viable seeds of bellyache bush remained after 72 months irrespective of seed type under natural rainfall conditions. When rainfall was excluded seeds persisted for much longer, with a small portion (0.4%) of ant-discarded seeds still viable after 120 months. Seed persistence was prolonged (> 96 months to decline to < 1% viability) at all burial depths under rainfall-excluded conditions. In contrast, under natural rainfall, surface located seeds took twice as long (70 months) to decline to 1% viability compared with buried seeds (35 months). No seedling emergence was observed after 58 months and 36 months at the rocky and heavy clay soil sites, respectively. These results suggest that the required duration of control programs on bellyache bush may vary due to the effect of biotic and abiotic factors on persistence of soil seed banks.				Campbell, Shane/J-1508-2018	Campbell, Shane/0000-0002-7231-9067												1036-9872						2012	34	4					429	438		10.1071/RJ12051							WOS:000312390200009						
J	Adams, JB; Grobler, A; Rowe, C; Riddin, T; Bornman, TG; Ayres, DR				Adams, J. B.; Grobler, A.; Rowe, C.; Riddin, T.; Bornman, T. G.; Ayres, D. R.			Plant traits and spread of the invasive salt marsh grass, Spartina alterniflora Loisel., in the Great Brak Estuary, South Africa	AFRICAN JOURNAL OF MARINE SCIENCE												Spartina alterniflora Loisel., widely recognised as an aggressive invader of estuaries and salt marshes around the world, was discovered growing in the temporarily open/closed Great Brak Estuary on the southern Cape coast of South Africa in 2004. This is the first record of this invasive plant in Africa as well as its first occurrence in an estuary that closes to the sea. Plant traits and sediment characteristics were measured in 2009 and 2011 and found to be comparable to those reported elsewhere. Prior to the 2011 sampling, S. alterniflora stands had been flooded for almost eight months. As a result, sediment redox potential (-268 + 4 mV) was significantly lower in 2011. Sediments were mostly clay in 2009 (71 +/- 0.01%) compared to a predominance of sand in 2011 (40 +/- 0.02%). These differences were related to the artificial breaching of the estuary one month prior to sampling in March 2011. The grass currently occupies 1.1 ha in the salt marsh, sandflat and mudflat habitats of the estuary where its cover is expanding at a rate of 0.162 ha y(-1). Individual stands numbered about 12 in 2006, but have increased to 24 in 2011. These stands are expanding laterally at 0.9 m y(-1) although the long period of inundation during 2010 reduced this to 0.6 m y(-1). Expansion is due to vegetative spread as an analysis of the sediment seed bank showed no S. alterniflora seeds and very few salt marsh seeds (1 132 seeds m(-2)). If left unchecked, S. alterniflora has the potential to replace 42.9 ha or 41% of the total estuary habitat in the Great Brak Estuary, but also has the potential to invade other estuaries in South Africa, especially those with extensive intertidal habitat and containing S. maritima (19 estuaries in total). This study illustrates the adaptive potential of this invasive marsh plant and indicates the possibility of invasion in seasonally closed estuaries in other locations around the world.				Bornman, Thomas G/V-7794-2019	Bornman, Thomas G/0000-0003-1868-479X; Riddin, Taryn/0000-0002-5877-3431; Grobler, B. Adriaan/0000-0002-2559-6053; Adams, Janine/0000-0001-7204-123X												1814-232X						2012	34	3					313	322		10.2989/1814232X.2012.725279							WOS:000310432100002						
J	Leon-Lobos, P; Way, M; Aranda, PD; Lima, M				Leon-Lobos, Pedro; Way, Michael; Aranda, Patricia D.; Lima-Junior, Manuel			The role of ex situ seed banks in the conservation of plant diversity and in ecological restoration in Latin America	PLANT ECOLOGY & DIVERSITY												Background: Over half of the world's primary forest and a quarter of the world's plant species are found in Latin America. As a result of the limited protected areas and significant degradation of terrestrial ecosystems, seed banks provide an efficient component of integrated plant conservation strategies, chiefly due to their relatively low cost and massive storage capacity for genetic resources. Aims: We analyse the role that ex situ seed banks play in the conservation and reintroduction of threatened species, and in supporting ecological restoration programmes in the region. Methods: An analysis of the second National Reports on the state of the World's Plant Genetic Resources for Food and Agriculture showed that most countries in the region had the capacity for seed conservation. Using three case studies from seed conservation programmes in Mexico, Brazilian Amazonia and Chile, together with the global Millennium Seed Bank Partnership, we review the status and potential of these initiatives for conservation of plant diversity. Conclusion: The collection, conservation and use of seeds from arid and semi-arid biomes is highly effective; however the higher frequency of recalcitrant seeds in humid tropical forests requires a greater investment in research to underpin large-scale seed banking. In order to safeguard native species and provide adequate diversity of seeds for habitat restoration programmes, we anticipate the need to strengthen the capacity of the region's seed banks for preservation, research and propagation of native species.																	1755-0874	1755-1668					2012	5	2			SI		245	258		10.1080/17550874.2012.713402							WOS:000311559700011						
J	Cogoni, D; Mattana, E; Fenu, G; Bacchetta, G				Cogoni, D.; Mattana, E.; Fenu, G.; Bacchetta, G.			From seed to seedling: A critical transitional stage for the Mediterranean psammophilous species Dianthus morisianus (Caryophyllaceae)	PLANT BIOSYSTEMS												Seed germination, seedling emergence and seed persistence in the soil were investigated for Dianthus morisianus (Caryophyllaceae), a psammophilous endemic species of Sardinia. Stored and freshly collected seeds were incubated in a range of constant temperatures (5-25 degrees C) and an alternating temperature regime (25/10 degrees C). The effect of seed burial depth on seedling emergence was investigated under controlled environmental conditions. Seed persistence in the soil was verified by in situ experimental seed burials. Seeds of this species were non-dormant, and all seed lots germinated both in the light and darkness, mainly at low temperatures (<= 20 degrees C), with a maximum at 15 degrees C (>= 95%). Optimal seedling emergence was obtained when seeds were buried at a depth of 1-2 cm, and a declining emergence with increasing depth was observed. D. morisianus was also unable to form a persistent soil seed bank. The fate of the seeds that, after dispersal, do not emerge from the soil in the spring is, therefore, presumably to die before the next favourable growing season.				Mattana, Efisio/H-7645-2019	Mattana, Efisio/0000-0001-6235-4603; COGONI, Donatella/0000-0003-0937-196X; BACCHETTA, GIANLUIGI/0000-0002-1714-3978; Fenu, Giuseppe/0000-0003-4762-5043												1126-3504	1724-5575					2012	146	4					910	917		10.1080/11263504.2011.647106							WOS:000311117800021						
J	Garcia-Camacho, R; Albert, MJ; Escudero, A				Garcia-Camacho, Raul; Albert, Maria J.; Escudero, Adrian			Small-scale demographic compensation in a high-mountain endemic: the low edge stands still	PLANT ECOLOGY & DIVERSITY												Background: Under the current warming process, with its implications of higher temperatures, less rainfall, snowfall and snow cover, low-edge populations of high-mountain plants are expected to decline. Demographic studies are useful to foresee the future dynamics of species ranges. Adaptation, phenotypic plasticity, and demographic compensation have been proposed as mechanisms to cope with climate change. Aim: We studied the population dynamics of the high-mountain narrow endemic Armeria caespitosa at the extremes of its altitude distribution (low versus high edge), the high edge representing colonised summits that provide optimal growing conditions. The focus of the study was to establish if the species is retracting at its lower distribution range. Methods: We used 4 years of population censuses and soil seed bank data. Population matrix models allowed us to study the stochastic population growth rates, the species long-term viability under higher frequency of extreme years, and the life cycle transitions responsible for the differences in population dynamics between elevation range edges. Results: The low edge of the A. caespitosa elevation range appeared stable, with positive population growth rates under current environmental conditions, and a null quasi-extinction probability in the long-term under scenarios of high frequency of extremely dry years. Conclusions: The species will likely withstand the current climate-warming scenario along its elevation range. Results supported the role of so-called demographic compensation at a small spatial scale, which we argue might be common in the Mediterranean mountains.				Escudero, Adrian/H-5046-2015; Garcia-Camacho, Raul/C-1420-2014	Escudero, Adrian/0000-0002-1427-5465; Garcia-Camacho, Raul/0000-0001-5763-722X												1755-0874	1755-1668					2012	5	1					37	44		10.1080/17550874.2012.662534							WOS:000310593300004						
