PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Kompe, YO; Mutlu, VA; Ozkoc, I				Kompe, Yasemin Ozdener; Mutlu, Vildan Akin; Ozkoc, Ibrahim			The viability of Anacamptis laxiflora (Orchidaceae) seeds and the symbiotic germination	PLANT BIOSYSTEMS																													1126-3504	1724-5575															10.1080/11263504.2019.1701118		DEC 2019					WOS:000504609900001						
J	Shapiro-Garza, E; King, D; Rivera-Aguirre, A; Wang, S; Finley-Lezcano, J				Shapiro-Garza, Elizabeth; King, Danielle; Rivera-Aguirre, Ariadne; Wang, Sapphire; Finley-Lezcano, Jennifer			A participatory framework for feasibility assessments of climate change resilience strategies for smallholders: lessons from coffee cooperatives in Latin America	INTERNATIONAL JOURNAL OF AGRICULTURAL SUSTAINABILITY																	Rivera-Aguirre, Ariadne/0000-0003-4860-2791												1473-5903	1747-762X															10.1080/14735903.2019.1658841		DEC 2019					WOS:000503629000001						
J	Tan, ZX; Koh, JM; Koonin, EV; Cheong, KH				Tan, Zhi-Xuan; Koh, Jin Ming; Koonin, Eugene V.; Cheong, Kang Hao			Predator Dormancy is a Stable Adaptive Strategy due to Parrondo's Paradox	ADVANCED SCIENCE																	Koh, Jin Ming/0000-0002-6130-5591													2198-3844														1901559	10.1002/advs.201901559		DEC 2019					WOS:000502193100001						
J	Garrouj, M; Alard, D; Corcket, E; Marchand, L; Benot, ML				Garrouj, Myriam; Alard, Didier; Corcket, Emmanuel; Marchand, Lilian; Benot, Marie-Lise			The effects of management on vegetation trajectories during the early-stage restoration of previously arable land after hay transfer	ECOLOGY AND EVOLUTION																	Alard, Didier/0000-0003-2703-908X												2045-7758																10.1002/ece3.5798		DEC 2019					WOS:000500861400001	31938481					
J	Le Breton, TD; Natale, S; French, K; Gooden, B; Ooi, MKJ				Le Breton, Tom D.; Natale, Sophie; French, Kris; Gooden, Ben; Ooi, Mark K. J.			Fire-adapted traits of threatened shrub species in riparian refugia: implications for fire regime management	PLANT ECOLOGY																; Ooi, Mark/A-4779-2012	Le Breton, Tom/0000-0001-9353-0067; Ooi, Mark/0000-0002-3046-0417												1385-0237	1573-5052															10.1007/s11258-019-00993-2		DEC 2019					WOS:000501125400001						
J	Martini, F; Zou, CB; Goodale, UM				Martini, Francesco; Zou, Chaobo; Goodale, Uromi Manage			Intrinsic biotic factors and microsite conditions drive seedling survival in a species with masting reproduction	ECOLOGY AND EVOLUTION																	Martini, Francesco/0000-0003-0806-3930												2045-7758																10.1002/ece3.5861		DEC 2019					WOS:000500397500001	31938517					
J	Xu, GF; Shen, SC; Zhang, Y; Clements, DR; Yang, SS; Li, J; Dong, LY; Zhang, FD; Jin, GM; Gao, Y				Xu, Gaofeng; Shen, Shicai; Zhang, Yun; Clements, David Roy; Yang, Shaosong; Li, Jun; Dong, Liyao; Zhang, Fudou; Jin, Guimei; Gao, Yuan			Designing Cropping Systems to Improve the Management of the Invasive Weed Phalaris minor Retz.	AGRONOMY-BASEL																														2073-4395				DEC	2019	9	12							809	10.3390/agronomy9120809							WOS:000507280400035						
J	Manole, A; Banciu, C; Paica, IC; Vladimirescu, M; Maria, GM				Manole, Anca; Banciu, Cristian; Paica, Ioana Catalina; Vladimirescu, Mihnea; Maria, Gabriel Mihai			SEED BANKING FOR LONG-TERM CONSERVATION OF GLACIAL RELICT Ligularia sibirica (L.) CASS.	AGROLIFE SCIENTIFIC JOURNAL																													2285-5718	2286-0126				DEC	2019	8	2					76	81									WOS:000505611300011						
J	Gonzalez, K; Parra, B; Smith, CT; Martinez, M				Gonzalez, Karina; Parra, Boris; Smith, Carlos T.; Martinez, Miguel			Glycine Betaine Effect on Dormancy in Deinococcus sp. UDEC-P1 and Psychrobacter sp. UDEC-A5 Exposed to Hyperosmotic Stress	CURRENT MICROBIOLOGY																													0343-8651	1432-0991				DEC	2019	76	12					1435	1442		10.1007/s00284-019-01763-z							WOS:000505963900006	31494741					
J	Maccherini, S; Santi, E; Torri, D				Maccherini, Simona; Santi, Elisa; Torri, Dino			Germinable Soil Seed Bank in Biancana Badlands	DIVERSITY-BASEL																														1424-2818				DEC	2019	11	12							223	10.3390/d11120223							WOS:000505598100007						
J	dos Santos, VJ; de Almeida , ES; Caiafa, AN; Medeiros, AO				dos Santos, Vinicius Jose; de Almeida Junior, Edson Serafim; Caiafa, Alessandra Nasser; Medeiros, Adriana Oliveira			The effectiveness of restoration evaluated by the litterfall and leaf decomposition	SCIENTIA FORESTALIS																													1413-9324					DEC	2019	47	124					667	677		10.18671/scifor.v47n124.08							WOS:000503058100008						
J	Paulo, D; Diekmann, O; Ramos, AA; Alberto, F; Serrao, EA				Paulo, Diogo; Diekmann, Onno; Ramos, Ana Alexandra; Alberto, Filipe; Serrao, Ester Alvares			Sexual reproduction vs. clonal propagation in the recovery of a seagrass meadow after an extreme weather event	SCIENTIA MARINA																Serrao, Ester/C-6686-2012	Serrao, Ester/0000-0003-1316-658X												0214-8358	1886-8134				DEC	2019	83	4					357	363		10.3989/scimar.04843.06A							WOS:000502806700007						
J	Ma, XY; Ma, YJ; Wu, HW; Ren, XL; Jiang, WL; Ma, Y				Ma, Xiaoyan; Ma, Yajie; Wu, Hanwen; Ren, Xiangliang; Jiang, Weili; Ma, Yan			Emergence timing affects growth and reproduction of goosegrass (Eleusine indica)	WEED TECHNOLOGY																													0890-037X	1550-2740				DEC	2019	33	6					833	839	PII S0890037X19000617	10.1017/wet.2019.61							WOS:000502954900011						
J	Chu, H; Zhang, CP; Dong, QM; Shang, ZH; Degen, AA; Yang, XX; Yu, Y; Yang, ZZ; Zhang, YF				Chu, Hui; Zhang, Chunping; Dong, Quanmin; Shang, Zhanhuan; Degen, A. Allan; Yang, Xiaoxia; Yu, Yang; Yang, Zengzeng; Zhang, Yanfen			The effect of grazing intensity and season on the soil seed bank and its relation with above-ground vegetation on the alpine steppe	AGRICULTURE ECOSYSTEMS & ENVIRONMENT																													0167-8809	1873-2305				DEC 1	2019	285								UNSP 106622	10.1016/j.agee.2019.106622							WOS:000500213400013						
J	Gu, RT; Song, XY; Zhou, Y; Zhang, XM; Xu, SC; Xu, S; Yue, SD; Zhang, Y; Zhu, SY				Gu, Ruiting; Song, Xiaoyue; Zhou, Yi; Zhang, Xiaomei; Xu, Shaochun; Xu, Shuai; Yue, Shidong; Zhang, Yu; Zhu, Shuyu			In situ investigation of the influence of desiccation on sediment seed banks and population recruitment of the seagrass Ruppia sinensis in the Yellow River Delta, China	MARINE POLLUTION BULLETIN																Zhou, Yi/F-4219-2011	Zhou, Yi/0000-0001-7300-0173												0025-326X	1879-3363				DEC	2019	149								UNSP 110620	10.1016/j.marpolbul.2019.110620							WOS:000501387300104						
