"Author","Year","Title","Journal","Doi","URL"
"Kompe, YO; Mutlu, VA; Ozkoc, I",NA,"The viability of Anacamptis laxiflora (Orchidaceae) seeds and the symbiotic germination","PLANT BIOSYSTEMS","10.1080/11263504.2019.1701118","http://doi.org/10.1080/11263504.2019.1701118"
"Shapiro-Garza, E; King, D; Rivera-Aguirre, A; Wang, S; Finley-Lezcano, J",NA,"A participatory framework for feasibility assessments of climate change resilience strategies for smallholders: lessons from coffee cooperatives in Latin America","INTERNATIONAL JOURNAL OF AGRICULTURAL SUSTAINABILITY","10.1080/14735903.2019.1658841","http://doi.org/10.1080/14735903.2019.1658841"
"Tan, ZX; Koh, JM; Koonin, EV; Cheong, KH",NA,"Predator Dormancy is a Stable Adaptive Strategy due to Parrondo's Paradox","ADVANCED SCIENCE","10.1002/advs.201901559","http://doi.org/10.1002/advs.201901559"
"Garrouj, M; Alard, D; Corcket, E; Marchand, L; Benot, ML",NA,"The effects of management on vegetation trajectories during the early-stage restoration of previously arable land after hay transfer","ECOLOGY AND EVOLUTION","10.1002/ece3.5798","http://doi.org/10.1002/ece3.5798"
"Le Breton, TD; Natale, S; French, K; Gooden, B; Ooi, MKJ",NA,"Fire-adapted traits of threatened shrub species in riparian refugia: implications for fire regime management","PLANT ECOLOGY","10.1007/s11258-019-00993-2","http://doi.org/10.1007/s11258-019-00993-2"
"Martini, F; Zou, CB; Goodale, UM",NA,"Intrinsic biotic factors and microsite conditions drive seedling survival in a species with masting reproduction","ECOLOGY AND EVOLUTION","10.1002/ece3.5861","http://doi.org/10.1002/ece3.5861"
"Xu, GF; Shen, SC; Zhang, Y; Clements, DR; Yang, SS; Li, J; Dong, LY; Zhang, FD; Jin, GM; Gao, Y",2019,"Designing Cropping Systems to Improve the Management of the Invasive Weed Phalaris minor Retz.","AGRONOMY-BASEL","10.3390/agronomy9120809","http://doi.org/10.3390/agronomy9120809"
"Gonzalez, K; Parra, B; Smith, CT; Martinez, M",2019,"Glycine Betaine Effect on Dormancy in Deinococcus sp. UDEC-P1 and Psychrobacter sp. UDEC-A5 Exposed to Hyperosmotic Stress","CURRENT MICROBIOLOGY","10.1007/s00284-019-01763-z","http://doi.org/10.1007/s00284-019-01763-z"
"Maccherini, S; Santi, E; Torri, D",2019,"Germinable Soil Seed Bank in Biancana Badlands","DIVERSITY-BASEL","10.3390/d11120223","http://doi.org/10.3390/d11120223"
"dos Santos, VJ; de Almeida , ES; Caiafa, AN; Medeiros, AO",2019,"The effectiveness of restoration evaluated by the litterfall and leaf decomposition","SCIENTIA FORESTALIS","10.18671/scifor.v47n124.08","http://doi.org/10.18671/scifor.v47n124.08"
"Paulo, D; Diekmann, O; Ramos, AA; Alberto, F; Serrao, EA",2019,"Sexual reproduction vs. clonal propagation in the recovery of a seagrass meadow after an extreme weather event","SCIENTIA MARINA","10.3989/scimar.04843.06A","http://doi.org/10.3989/scimar.04843.06A"
