PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	White, SN				White, Scott N.			Evaluation of herbicides for hair fescue (Festuca filiformis) management and potential seedbank reduction in lowbush blueberry	WEED TECHNOLOGY																													0890-037X	1550-2740				DEC	2019	33	6					840	846		10.1017/wet.2019.71							WOS:000502954900012						
J	Oreja, FH; Batlla, D; de la Fuente, EB				Oreja, F. H.; Batlla, D.; de la Fuente, E. B.			Digitaria sanguinalis seed dormancy release and seedling emergence are affected by crop canopy and stubble	WEED RESEARCH																	Oreja, Fernando/0000-0002-2553-3802												0043-1737	1365-3180															10.1111/wre.12392		NOV 2019					WOS:000498254800001						
J	Mahoney, DJ; Jordan, DL; Hare, AT; Leon, RG; Vann, MC; Burgos, NR; Jennings, KM				Mahoney, Denis J.; Jordan, David L.; Hare, Andrew T.; Leon, Ramon G.; Vann, Matthew C.; Burgos, Nilda R.; Jennings, Katherine M.			The Influence of Postemergence Herbicide Timing and Frequency on Weed Control and Soybean Yield	CROP FORAGE & TURFGRASS MANAGEMENT																	Jennings, Katherine/0000-0003-3708-3973; Vann, Matthew/0000-0003-3246-980X												2374-3832					NOV 21	2019	5	1							UNSP 190036	10.2134/cftm2019.05.0036							WOS:000498799600001						
J	Rosner, K; Hage-Ahmed, K; Bodner, G; Steinkellner, S				Rosner, Kathrin; Hage-Ahmed, Karin; Bodner, Gernot; Steinkellner, Siegrid			Soil tillage and herbicide applications in pea: arbuscular mycorrhizal fungi, plant growth and nutrient concentration respond differently	ARCHIVES OF AGRONOMY AND SOIL SCIENCE																	Bodner, Gernot/0000-0001-9813-1364; Steinkellner, Siegrid/0000-0003-0815-9377												0365-0340	1476-3567															10.1080/03650340.2019.1688788		NOV 2019					WOS:000495419000001						
J	de Avila, IAM; Hurtado, SMC; de Jezus, GC; Silva, GC; Rezende, MM				Menezes de Avila, Igor Araujo; Carmelino Hurtado, Sandro Manuel; de Jezus, Gabriel Camargo; Silva, Gustavo Costa; Rezende, Matheus Mendes			SOIL ATTRIBUTES AND WEED SEEDBANK SPATIAL CORRELATION	BIOSCIENCE JOURNAL																													1981-3163					NOV-DEC	2019	35	6					1871	1877		10.14393/BJ-v35n6a2019-46995							WOS:000502833100024						
J	Talucci, AC; Lertzman, KP; Krawchuk, MA				Talucci, Anna C.; Lertzman, Ken P.; Krawchuk, Meg A.			Drivers of lodgepole pine recruitment across a gradient of bark beetle outbreak and wildfire in British Columbia	FOREST ECOLOGY AND MANAGEMENT																	Talucci, Anna/0000-0001-8415-4813												0378-1127	1872-7042				NOV 1	2019	451								117500	10.1016/j.foreco.2019.117500							WOS:000487577400005						
J	Lu, HW; Lu, JZ; He, L				Lu, Hongwei; Lu, Jingzhao; He, Li			Modeling and estimation of pollen-mediated gene flow at the landscape scale	ECOLOGICAL INDICATORS																													1470-160X	1872-7034				NOV	2019	106								UNSP 105500	10.1016/j.ecolind.2019.105500							WOS:000490577900065						
J	Zhang, CJ; Auer, C				Zhang, Chuan-Jie; Auer, Carol			Overwintering assessment of camelina (Camelina sativa) cultivars and congeneric species in the northeastern US	INDUSTRIAL CROPS AND PRODUCTS																													0926-6690	1872-633X				NOV 1	2019	139								UNSP 111532	10.1016/j.indcrop.2019.111532							WOS:000484646900006						
J	Testani, E; Ciaccia, C; Campanelli, G; Leteo, F; Salvati, L; Canali, S				Testani, Elena; Ciaccia, Corrado; Campanelli, Gabriele; Leteo, Fabrizio; Salvati, Luca; Canali, Stefano			Mulch-Based No-Tillage Effects on Weed Community and Management in an Organic Vegetable System	AGRONOMY-BASEL																	TESTANI, ELENA/0000-0001-8818-9466; Campanelli, Gabriele/0000-0002-0799-8964													2073-4395				OCT	2019	9	10							594	10.3390/agronomy9100594							WOS:000498268600028						
J	Spaunhorst, DJ; Orgeron, AJ; White, PM				Spaunhorst, Douglas J.; Orgeron, Albert J.; White, Paul M.			Burning postharvest sugarcane residue for control of surface-deposited divine nightshade (Solanum nigrescens) and itchgrass (Rottboellia cochinchinensis) seed	WEED TECHNOLOGY																													0890-037X	1550-2740				OCT	2019	33	5					693	700		10.1017/wet.2019.65							WOS:000491469400007						
J	Crisfield, VE; Haughland, DL; Pyle, LA				Crisfield, V. E.; Haughland, D. L.; Pyle, L. A.			Reproductive ecology of impoverished pinweed (Lechea intermedia var. depauperata), a fire-associated narrow endemic from the boreal forest	BOTANY																	Crisfield, Varina/0000-0002-9057-5689; Pyle, Lysandra/0000-0001-6922-3673												1916-2790	1916-2804				OCT	2019	97	10								10.1139/cjb-2019-0097							WOS:000489018800005						
J	Landschoot, S; Dewitte, K; Marynissen, B; Derycke, V; Latre, J; Haesaert, G				Landschoot, Sofie; Dewitte, Kevin; Marynissen, Bram; Derycke, Veerle; Latre, Joos; Haesaert, Geert			Does shifting from conventional to zero tillage in combination with a cover crop offers opportunities for silage maize cultivation in Flanders?	JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE																													1436-8730	1522-2624				DEC	2019	182	6					980	989		10.1002/jpln.201900160		OCT 2019					WOS:000488361200001						
J	Restuccia, A; Lombardo, S; Mauromicale, G				Restuccia, Alessia; Lombardo, Sara; Mauromicale, Giovanni			Impact of a Cultivation System upon the Weed Seedbank Size and Composition in a Mediterranean Environment	AGRICULTURE-BASEL																	RESTUCCIA, Alessia/0000-0003-4256-2231													2077-0472				SEP	2019	9	9							192	10.3390/agriculture9090192							WOS:000488005900008						
J	Wright, BR; Albrecht, DE; Silcock, JL; Hunter, J; Fensham, RJ				Wright, Boyd R.; Albrecht, David E.; Silcock, Jennifer L.; Hunter, John; Fensham, Roderick J.			Mechanisms behind persistence of a fire-sensitive alternative stable state system in the Gibson Desert, Western Australia	OECOLOGIA																	Wright, Boyd/0000-0002-6322-4904; Fensham, Roderick/0000-0003-3658-5867												0029-8549	1432-1939				SEP	2019	191	1					165	175		10.1007/s00442-019-04474-1							WOS:000484956600014	31372894					
J	Adeux, G; Munier-Jolain, N; Meunier, D; Farcy, P; Carlesi, S; Barberi, P; Cordeau, S				Adeux, Guillaume; Munier-Jolain, Nicolas; Meunier, Dominique; Farcy, Pascal; Carlesi, Stefano; Barberi, Paolo; Cordeau, Stephane			Diversified grain-based cropping systems provide long-term weed control while limiting herbicide use and yield losses	AGRONOMY FOR SUSTAINABLE DEVELOPMENT																Carlesi, Stefano/AAB-8648-2020; CORDEAU, Stephane/K-6926-2012	Carlesi, Stefano/0000-0002-9712-3474; CORDEAU, Stephane/0000-0003-1069-8388												1774-0746	1773-0155				AUG 5	2019	39	4							42	10.1007/s13593-019-0587-x							WOS:000478900300002						
J	Gage, KL; Schwartz-Lazaro, LM				Gage, Karla L.; Schwartz-Lazaro, Lauren M.			Shifting the Paradigm: An Ecological Systems Approach to Weed Management	AGRICULTURE-BASEL																	Lazaro, Lauren M./0000-0001-8305-4319													2077-0472				AUG	2019	9	8							179	10.3390/agriculture9080179							WOS:000482957100018						
J	Dwivedi, S; Goldman, I; Ortiz, R				Dwivedi, Sangam; Goldman, Irwin; Ortiz, Rodomiro			Pursuing the Potential of Heirloom Cultivars to Improve Adaptation, Nutritional, and Culinary Features of Food Crops	AGRONOMY-BASEL																														2073-4395				AUG	2019	9	8							441	10.3390/agronomy9080441							WOS:000482988800023						
J	Mohammed, S; Bhattacharya, S; Mummenhoff, K				Mohammed, Said; Bhattacharya, Samik; Mummenhoff, Klaus			Dead or Alive: Simple, Nondestructive, and Predictive Monitoring of Seedbanks	TRENDS IN PLANT SCIENCE																Bhattacharya, Samik/J-9659-2019	Bhattacharya, Samik/0000-0001-6151-5217; Mummenhoff, Klaus/0000-0002-8449-1593; Hassen, Said Mohammed/0000-0002-6717-3796												1360-1385	1878-4372				AUG	2019	24	8					783	784		10.1016/j.tplants.2019.05.014							WOS:000476620900012	31262496					
J	De Cauwer, B; De Cuypere, T; De Ryck, S; Delanote, L; DeWaele, K; Willekens, K; Reheul, D				De Cauwer, B.; De Cuypere, T.; De Ryck, S.; Delanote, L.; DeWaele, K.; Willekens, K.; Reheul, D.			Reduction in field emergence and seedbank density of Galinsoga quadriradiata and other weeds after contrasting false seedbed strategies in organic vegetable fields	WEED RESEARCH																													0043-1737	1365-3180				AUG	2019	59	4					265	278		10.1111/wre.12363							WOS:000474265400003						
J	Lefebvre, M; Leblanc, ML; Watson, AK				Lefebvre, M.; Leblanc, M. L.; Watson, A. K.			Impact of Indian mustard growth and incorporation on annual weed population dynamics and communities	WEED RESEARCH																													0043-1737	1365-3180				AUG	2019	59	4					324	338		10.1111/wre.12369							WOS:000474265400008						
J	Wilker, J; Navabi, A; Rajcan, I; Marsolais, F; Hill, B; Torkamaneh, D; Pauls, KP				Wilker, Jennifer; Navabi, Alireza; Rajcan, Istvan; Marsolais, Frederic; Hill, Brett; Torkamaneh, Davoud; Pauls, K. Peter			Agronomic Performance and Nitrogen Fixation of Heirloom and Conventional Dry Bean Varieties Under Low-Nitrogen Field Conditions	FRONTIERS IN PLANT SCIENCE																													1664-462X					JUL 26	2019	10								952	10.3389/fpls.2019.00952							WOS:000477783000001	31404343					
J	Collins, L				Collins, Luke			Eucalypt forests dominated by epicormic resprouters are resilient to repeated canopy fires	JOURNAL OF ECOLOGY																	Collins, Luke/0000-0001-8059-0925												0022-0477	1365-2745															10.1111/1365-2745.13227		JUL 2019					WOS:000474131500001						
J	Khan, MJ; Brodie, G; Chen, L; Liu, WW; Jhajj, R				Khan, Muhammad Jamal; Brodie, Graham; Chen, Long; Liu, Wenwen; Jhajj, Ravneet			Impact of Microwave Soil Heating on the Yield and Nutritive Value of Rice Crop	AGRICULTURE-BASEL																														2077-0472				JUL	2019	9	7							134	10.3390/agriculture9070134							WOS:000478763300024						
J	Schwartz-Lazaro, LM; Copes, JT				Schwartz-Lazaro, Lauren M.; Copes, Josh T.			A Review of the Soil Seedbank from a Weed Scientists Perspective	AGRONOMY-BASEL																	Lazaro, Lauren M./0000-0001-8305-4319												2073-4395					JUL	2019	9	7							369	10.3390/agronomy9070369							WOS:000478660500017						
J	Dunne, MA; Newman, RM				Dunne, Melaney A.; Newman, Raymond M.			Effect of light on macrophyte sprouting and assessment of viable seedbank to predict community composition	JOURNAL OF AQUATIC PLANT MANAGEMENT																Newman, Raymond/AAD-8343-2019													0146-6623					JUL	2019	57						90	98									WOS:000478712600006						
J	Bessette, D; Wilson, R; Beaudrie, C; Schroeder, C				Bessette, Douglas; Wilson, Robyn; Beaudrie, Christian; Schroeder, Clayton			An online decision support tool to evaluate ecological weed management strategies	WEED SCIENCE																	Bessette, Douglas/0000-0001-7709-8518												0043-1745	1550-2759				JUL	2019	67	4					463	473		10.1017/wsc.2019.21							WOS:000475788500012						
J	Orr, MR; Reuter, RJ; Murphy, SJ				Orr, Matthew R.; Reuter, Ron J.; Murphy, Shanti J.			Solarization to control downy brome (Bromus tectorum) for small-scale ecological restoration	INVASIVE PLANT SCIENCE AND MANAGEMENT																													1939-7291	1939-747X				JUN	2019	12	2					112	119		10.1017/inp.2019.8							WOS:000482292900004						
J	Ehlert, KA; Miller, Z; Mangold, JM; Menalled, F; Thornton, A				Ehlert, Krista A.; Miller, Zachariah; Mangold, Jane M.; Menalled, Fabian; Thornton, Alexandra			Temperature effects on three downy brome (Bromus tectorum) seed collections inoculated with the fungal pathogen Pyrenophora semeniperda	INVASIVE PLANT SCIENCE AND MANAGEMENT																													1939-7291	1939-747X				JUN	2019	12	2					150	154		10.1017/inp.2019.10							WOS:000482292900009						
J	Hill, NM; Chinner, K; Toms, B; Garbary, DJ				Hill, Nicholas M.; Chinner, Kristine; Toms, Bradley; Garbary, David J.			Recovery Succession of Native Plant Communities at Big Meadow Bog After Disturbance and Eutrophication from Herring Gulls	WETLANDS																													0277-5212	1943-6246				JUN	2019	39	3					533	548		10.1007/s13157-018-1099-1							WOS:000474497200011						
J	Shinoda, Y; Akasaka, M				Shinoda, Yushin; Akasaka, Munemitsu			Species turnover differentiates diversity-disturbance relationships between aboveground vegetation and soil seedbank	PLANT ECOLOGY																Akasaka, Munemitsu/G-1172-2013	Akasaka, Munemitsu/0000-0002-0143-0841												1385-0237	1573-5052				JUN	2019	220	6					595	603		10.1007/s11258-019-00938-9							WOS:000470753000004						
J	Frei, B; Guenay, Y; Bohan, DA; Traugott, M; Wallinger, C				Frei, Britta; Guenay, Yasemin; Bohan, David A.; Traugott, Michael; Wallinger, Corinna			Molecular analysis indicates high levels of carabid weed seed consumption in cereal fields across Central Europe	JOURNAL OF PEST SCIENCE																Bohan, David A/D-7992-2012	Bohan, David A/0000-0001-5656-775X												1612-4758	1612-4766				JUN	2019	92	3					935	942		10.1007/s10340-019-01109-5							WOS:000467921900001	31178674					
J	Gaba, S; Deroulers, P; Bretagnolle, F; Bretagnolle, V				Gaba, S.; Deroulers, P.; Bretagnolle, F.; Bretagnolle, V			Lipid content drives weed seed consumption by ground beetles (Coleopterea, Carabidae) within the smallest seeds	WEED RESEARCH																Gaba, Sabrina/N-8428-2013	Gaba, Sabrina/0000-0002-7145-6713												0043-1737	1365-3180				JUN	2019	59	3					170	179		10.1111/wre.12354							WOS:000467568500002						
J	De Cauwer, B; Vanbesien, J; De Ryck, S; Reheul, D				De Cauwer, B.; Vanbesien, J.; De Ryck, S.; Reheul, D.			Impact of Brassica juncea biofumigation on viability of propagules of pernicious weed species	WEED RESEARCH																													0043-1737	1365-3180				JUN	2019	59	3					209	221		10.1111/wre.12358							WOS:000467568500006						
J	Refatti, JP; de Avila, LA; Camargo, ER; Ziska, LH; Oliveira, C; Salas-Perez, R; Rouse, CE; Roma-Burgos, N				Refatti, Joao Paulo; de Avila, Luis Antonio; Camargo, Edinalvo Rabaioli; Ziska, Lewis Hans; Oliveira, Claudia; Salas-Perez, Reiofeli; Rouse, Christopher Edward; Roma-Burgos, Nilda			High [CO2] and Temperature Increase Resistance to Cyhalofop-Butyl in Multiple-Resistant Echinochloa colona	FRONTIERS IN PLANT SCIENCE																de Avila, Luis Antonio/E-2892-2010; Camargo, Edinalvo/I-6650-2013	de Avila, Luis Antonio/0000-0002-2532-7152; Camargo, Edinalvo/0000-0001-8025-1042												1664-462X					MAY 8	2019	10								529	10.3389/fpls.2019.00529							WOS:000467283000001	31139198					
J	Shrestha, S; Sharma, G; Burgos, NR; Tseng, TM				Shrestha, Swati; Sharma, Gourav; Burgos, Nilda Roma; Tseng, Te-Ming			Response of weedy rice (Oryza spp.) germplasm from Arkansas to glyphosate, glufosinate, and flumioxazin	WEED SCIENCE																													0043-1745	1550-2759				MAY	2019	67	3					303	310		10.1017/wsc.2018.92							WOS:000471071900006						
J	Hazelton, ELG; Downard, R; Kettenring, KM; McCormick, MK; Whigham, DF				Hazelton, Eric L. G.; Downard, Rebekah; Kettenring, Karin M.; McCormick, Melissa K.; Whigham, Dennis F.			Spatial and Temporal Variation in Brackish Wetland Seedbanks: Implications for Wetland Restoration Following Phragmites Control (vol 41, pg S68, 2018)	ESTUARIES AND COASTS																													1559-2723	1559-2731				MAY	2019	42	3					907	907		10.1007/s12237-018-00500-2							WOS:000463827200029						
J	Thuring, CE; Dunnett, NP				Thuring, Christine E.; Dunnett, Nigel P.			Persistence, loss and gain: Characterising mature green roof vegetation by functional composition	LANDSCAPE AND URBAN PLANNING																	Thuring, Christine/0000-0002-4621-4560												0169-2046	1872-6062				MAY	2019	185						228	236		10.1016/j.landurbplan.2018.10.026							WOS:000463125400022						
J	Borrell, JS; Biswas, MK; Goodwin, M; Blomme, G; Schwarzacher, T; Heslop-Harrison, JS; Wendawek, AM; Berhanu, A; Kallow, S; Janssens, S; Molla, EL; Davis, AP; Woldeyes, F; Willis, K; Demissew, S; Wilkin, P				Borrell, James S.; Biswas, Manosh K.; Goodwin, Mark; Blomme, Guy; Schwarzacher, Trude; Heslop-Harrison, J. S. (Pat); Wendawek, Abebe M.; Berhanu, Admas; Kallow, Simon; Janssens, Steven; Molla, Ermias L.; Davis, Aaron P.; Woldeyes, Feleke; Willis, Kathy; Demissew, Sebsebe; Wilkin, Paul			Enset in Ethiopia: a poorly characterized but resilient starch staple	ANNALS OF BOTANY																Berisso, Admas Berhanu/C-8404-2019; Borrell, James/I-7556-2019	Berisso, Admas Berhanu/0000-0002-5023-2569; Borrell, James/0000-0001-9902-7681												0305-7364	1095-8290				APR 11	2019	123	5					747	766		10.1093/aob/mcy214							WOS:000483016800003	30715125					
J	Loureiro, AMMC; Cutler, GC; Nams, VO; White, SN				Loureiro, Alexandre M. M. C., Jr.; Cutler, G. Christopher; Nams, Vilis O.; White, Scott N.			Poecilus lucublandus (Coleoptera: Carabidae) and Pterostichus mutus Do Not Feed on Hair Fescue, Red Sorrel, and Poverty Oatgrass Seeds	JOURNAL OF INSECT SCIENCE																	Miranda de Castro Loureiro Filho, Alexandre Marcos/0000-0002-7127-5365												1536-2442	2250-2645				APR 11	2019	19	2							21	10.1093/jisesa/iez027							WOS:000464147800001	31222322					
