"Author","Year","Title","Journal","Doi","URL"
"White, SN",2019,"Evaluation of herbicides for hair fescue (Festuca filiformis) management and potential seedbank reduction in lowbush blueberry","WEED TECHNOLOGY","10.1017/wet.2019.71","http://doi.org/10.1017/wet.2019.71"
"Oreja, FH; Batlla, D; de la Fuente, EB",NA,"Digitaria sanguinalis seed dormancy release and seedling emergence are affected by crop canopy and stubble","WEED RESEARCH","10.1111/wre.12392","http://doi.org/10.1111/wre.12392"
"Mahoney, DJ; Jordan, DL; Hare, AT; Leon, RG; Vann, MC; Burgos, NR; Jennings, KM",2019,"The Influence of Postemergence Herbicide Timing and Frequency on Weed Control and Soybean Yield","CROP FORAGE & TURFGRASS MANAGEMENT","10.2134/cftm2019.05.0036","http://doi.org/10.2134/cftm2019.05.0036"
"Rosner, K; Hage-Ahmed, K; Bodner, G; Steinkellner, S",NA,"Soil tillage and herbicide applications in pea: arbuscular mycorrhizal fungi, plant growth and nutrient concentration respond differently","ARCHIVES OF AGRONOMY AND SOIL SCIENCE","10.1080/03650340.2019.1688788","http://doi.org/10.1080/03650340.2019.1688788"
"de Avila, IAM; Hurtado, SMC; de Jezus, GC; Silva, GC; Rezende, MM",2019,"SOIL ATTRIBUTES AND WEED SEEDBANK SPATIAL CORRELATION","BIOSCIENCE JOURNAL","10.14393/BJ-v35n6a2019-46995","http://doi.org/10.14393/BJ-v35n6a2019-46995"
"Talucci, AC; Lertzman, KP; Krawchuk, MA",2019,"Drivers of lodgepole pine recruitment across a gradient of bark beetle outbreak and wildfire in British Columbia","FOREST ECOLOGY AND MANAGEMENT","10.1016/j.foreco.2019.117500","http://doi.org/10.1016/j.foreco.2019.117500"
"Lu, HW; Lu, JZ; He, L",2019,"Modeling and estimation of pollen-mediated gene flow at the landscape scale","ECOLOGICAL INDICATORS","10.1016/j.ecolind.2019.105500","http://doi.org/10.1016/j.ecolind.2019.105500"
"Zhang, CJ; Auer, C",2019,"Overwintering assessment of camelina (Camelina sativa) cultivars and congeneric species in the northeastern US","INDUSTRIAL CROPS AND PRODUCTS","10.1016/j.indcrop.2019.111532","http://doi.org/10.1016/j.indcrop.2019.111532"
"Testani, E; Ciaccia, C; Campanelli, G; Leteo, F; Salvati, L; Canali, S",2019,"Mulch-Based No-Tillage Effects on Weed Community and Management in an Organic Vegetable System","AGRONOMY-BASEL","10.3390/agronomy9100594","http://doi.org/10.3390/agronomy9100594"
"Spaunhorst, DJ; Orgeron, AJ; White, PM",2019,"Burning postharvest sugarcane residue for control of surface-deposited divine nightshade (Solanum nigrescens) and itchgrass (Rottboellia cochinchinensis) seed","WEED TECHNOLOGY","10.1017/wet.2019.65","http://doi.org/10.1017/wet.2019.65"
"Crisfield, VE; Haughland, DL; Pyle, LA",2019,"Reproductive ecology of impoverished pinweed (Lechea intermedia var. depauperata), a fire-associated narrow endemic from the boreal forest","BOTANY","10.1139/cjb-2019-0097","http://doi.org/10.1139/cjb-2019-0097"
"Landschoot, S; Dewitte, K; Marynissen, B; Derycke, V; Latre, J; Haesaert, G",2019,"Does shifting from conventional to zero tillage in combination with a cover crop offers opportunities for silage maize cultivation in Flanders?","JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE","10.1002/jpln.201900160","http://doi.org/10.1002/jpln.201900160"
"Restuccia, A; Lombardo, S; Mauromicale, G",2019,"Impact of a Cultivation System upon the Weed Seedbank Size and Composition in a Mediterranean Environment","AGRICULTURE-BASEL","10.3390/agriculture9090192","http://doi.org/10.3390/agriculture9090192"
"Wright, BR; Albrecht, DE; Silcock, JL; Hunter, J; Fensham, RJ",2019,"Mechanisms behind persistence of a fire-sensitive alternative stable state system in the Gibson Desert, Western Australia","OECOLOGIA","10.1007/s00442-019-04474-1","http://doi.org/10.1007/s00442-019-04474-1"
"Adeux, G; Munier-Jolain, N; Meunier, D; Farcy, P; Carlesi, S; Barberi, P; Cordeau, S",2019,"Diversified grain-based cropping systems provide long-term weed control while limiting herbicide use and yield losses","AGRONOMY FOR SUSTAINABLE DEVELOPMENT","10.1007/s13593-019-0587-x","http://doi.org/10.1007/s13593-019-0587-x"
"Gage, KL; Schwartz-Lazaro, LM",2019,"Shifting the Paradigm: An Ecological Systems Approach to Weed Management","AGRICULTURE-BASEL","10.3390/agriculture9080179","http://doi.org/10.3390/agriculture9080179"
"Dwivedi, S; Goldman, I; Ortiz, R",2019,"Pursuing the Potential of Heirloom Cultivars to Improve Adaptation, Nutritional, and Culinary Features of Food Crops","AGRONOMY-BASEL","10.3390/agronomy9080441","http://doi.org/10.3390/agronomy9080441"
"Mohammed, S; Bhattacharya, S; Mummenhoff, K",2019,"Dead or Alive: Simple, Nondestructive, and Predictive Monitoring of Seedbanks","TRENDS IN PLANT SCIENCE","10.1016/j.tplants.2019.05.014","http://doi.org/10.1016/j.tplants.2019.05.014"
"De Cauwer, B; De Cuypere, T; De Ryck, S; Delanote, L; DeWaele, K; Willekens, K; Reheul, D",2019,"Reduction in field emergence and seedbank density of Galinsoga quadriradiata and other weeds after contrasting false seedbed strategies in organic vegetable fields","WEED RESEARCH","10.1111/wre.12363","http://doi.org/10.1111/wre.12363"
"Lefebvre, M; Leblanc, ML; Watson, AK",2019,"Impact of Indian mustard growth and incorporation on annual weed population dynamics and communities","WEED RESEARCH","10.1111/wre.12369","http://doi.org/10.1111/wre.12369"
"Wilker, J; Navabi, A; Rajcan, I; Marsolais, F; Hill, B; Torkamaneh, D; Pauls, KP",2019,"Agronomic Performance and Nitrogen Fixation of Heirloom and Conventional Dry Bean Varieties Under Low-Nitrogen Field Conditions","FRONTIERS IN PLANT SCIENCE","10.3389/fpls.2019.00952","http://doi.org/10.3389/fpls.2019.00952"
"Collins, L",NA,"Eucalypt forests dominated by epicormic resprouters are resilient to repeated canopy fires","JOURNAL OF ECOLOGY","10.1111/1365-2745.13227","http://doi.org/10.1111/1365-2745.13227"
"Khan, MJ; Brodie, G; Chen, L; Liu, WW; Jhajj, R",2019,"Impact of Microwave Soil Heating on the Yield and Nutritive Value of Rice Crop","AGRICULTURE-BASEL","10.3390/agriculture9070134","http://doi.org/10.3390/agriculture9070134"
"Schwartz-Lazaro, LM; Copes, JT",2019,"A Review of the Soil Seedbank from a Weed Scientists Perspective","AGRONOMY-BASEL","10.3390/agronomy9070369","http://doi.org/10.3390/agronomy9070369"
"Bessette, D; Wilson, R; Beaudrie, C; Schroeder, C",2019,"An online decision support tool to evaluate ecological weed management strategies","WEED SCIENCE","10.1017/wsc.2019.21","http://doi.org/10.1017/wsc.2019.21"
"Orr, MR; Reuter, RJ; Murphy, SJ",2019,"Solarization to control downy brome (Bromus tectorum) for small-scale ecological restoration","INVASIVE PLANT SCIENCE AND MANAGEMENT","10.1017/inp.2019.8","http://doi.org/10.1017/inp.2019.8"
"Ehlert, KA; Miller, Z; Mangold, JM; Menalled, F; Thornton, A",2019,"Temperature effects on three downy brome (Bromus tectorum) seed collections inoculated with the fungal pathogen Pyrenophora semeniperda","INVASIVE PLANT SCIENCE AND MANAGEMENT","10.1017/inp.2019.10","http://doi.org/10.1017/inp.2019.10"
"Hill, NM; Chinner, K; Toms, B; Garbary, DJ",2019,"Recovery Succession of Native Plant Communities at Big Meadow Bog After Disturbance and Eutrophication from Herring Gulls","WETLANDS","10.1007/s13157-018-1099-1","http://doi.org/10.1007/s13157-018-1099-1"
"Shinoda, Y; Akasaka, M",2019,"Species turnover differentiates diversity-disturbance relationships between aboveground vegetation and soil seedbank","PLANT ECOLOGY","10.1007/s11258-019-00938-9","http://doi.org/10.1007/s11258-019-00938-9"
"Frei, B; Guenay, Y; Bohan, DA; Traugott, M; Wallinger, C",2019,"Molecular analysis indicates high levels of carabid weed seed consumption in cereal fields across Central Europe","JOURNAL OF PEST SCIENCE","10.1007/s10340-019-01109-5","http://doi.org/10.1007/s10340-019-01109-5"
"Gaba, S; Deroulers, P; Bretagnolle, F; Bretagnolle, V",2019,"Lipid content drives weed seed consumption by ground beetles (Coleopterea, Carabidae) within the smallest seeds","WEED RESEARCH","10.1111/wre.12354","http://doi.org/10.1111/wre.12354"
"De Cauwer, B; Vanbesien, J; De Ryck, S; Reheul, D",2019,"Impact of Brassica juncea biofumigation on viability of propagules of pernicious weed species","WEED RESEARCH","10.1111/wre.12358","http://doi.org/10.1111/wre.12358"
"Refatti, JP; de Avila, LA; Camargo, ER; Ziska, LH; Oliveira, C; Salas-Perez, R; Rouse, CE; Roma-Burgos, N",2019,"High [CO2] and Temperature Increase Resistance to Cyhalofop-Butyl in Multiple-Resistant Echinochloa colona","FRONTIERS IN PLANT SCIENCE","10.3389/fpls.2019.00529","http://doi.org/10.3389/fpls.2019.00529"
