,Lon_Deg,Lat_Deg,Temp,Prec,Author,Year,Title,Journal,Doi,URL,Human
1,11.41666667,43.26666667,139,756,"Maccherini, S; Santi, E; Torri, D",2019,Germinable Soil Seed Bank in Biancana Badlands,DIVERSITY-BASEL,10.3390/d11120223,http://doi.org/10.3390/d11120223,AA
2,11.41666667,43.26666667,139,756,"Maccherini, S; Santi, E; Torri, D",2019,Germinable Soil Seed Bank in Biancana Badlands,DIVERSITY-BASEL,10.3390/d11120223,http://doi.org/10.3390/d11120223,AA
3,11.41666667,43.26666667,139,756,"Maccherini, S; Santi, E; Torri, D",2019,Germinable Soil Seed Bank in Biancana Badlands,DIVERSITY-BASEL,10.3390/d11120223,http://doi.org/10.3390/d11120223,AA
4,11.41666667,43.26666667,139,756,"Maccherini, S; Santi, E; Torri, D",2019,Germinable Soil Seed Bank in Biancana Badlands,DIVERSITY-BASEL,10.3390/d11120223,http://doi.org/10.3390/d11120223,AA
5,100.0666667,37.35,-12,374,"Chu, H; Zhang, CP; Dong, QM; Shang, ZH; Degen, AA; Yang, XX; Yu, Y; Yang, ZZ; Zhang, YF",2019,The effect of grazing intensity and season on the soil seed bank and its relation with above-ground vegetation on the alpine steppe,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,10.1016/j.agee.2019.106622,http://doi.org/10.1016/j.agee.2019.106622,AA
6,118.9333333,37.88333333,121,584,"Guan, B; Chen, M; Elsey-Quirk, T; Yang, SS; Shang, WT; Li, YZ; Tian, XY; Han, GX",2019,Soil seed bank and vegetation differences following channel diversion in the Yellow River Delta,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2019.133600,http://doi.org/10.1016/j.scitotenv.2019.133600,AA
7,-122.7166667,38.43333333,139,887,"Grewel, BJ; Gillard, MB; Futrell, CJ; Castillo, JM",2019,Seedling Emergence from Seed Banks in Ludwigia hexapetala-Invaded Wetlands: Implications for Restoration,PLANTS-BASEL,10.3390/plants8110451,http://doi.org/10.3390/plants8110451,AA
8,5.033333333,7.266666667,256,1462,"Omomoh, B; Adekunle, V; Lawal, A; Akinbi, O",2019,"Tree species diversity and regeneration potential of soil seed bank in Akure forest reserve, Ondo state, Nigeria",TAIWANIA,10.6165/tai.2019.64.409,http://doi.org/10.6165/tai.2019.64.409,AA
9,-45.6,-60.71666667,NA,NA,"Malfasi, F; Convey, P; Zaccara, S; Cannone, N",NA,Establishment and eradication of an alien plant species in Antarctica: Poa annua at Signy Island,BIODIVERSITY AND CONSERVATION,10.1007/s10531-019-01877-7,http://doi.org/10.1007/s10531-019-01877-7,AA
10,-77.38333333,-11.4,191,32,"Rengifo-Faiffer, MC; Arana, C",2019,Fossorial birds help shape the plant community of a Peruvian desert,JOURNAL OF ARID ENVIRONMENTS,10.1016/j.jaridenv.2019.104011,http://doi.org/10.1016/j.jaridenv.2019.104011,AA
11,15.88333333,48.83333333,86,634,"Lanta, V; Mudrak, O; Liancourt, P; Bartos, M; Chlumska, Z; Dvorsky, M; Pusztaiova, Z; Munzbergova, Z; Sebek, P; Cizek, L; Dolezal, J",2019,Active management promotes plant diversity in lowland forests: A landscape-scale experiment with two types of clearings,FOREST ECOLOGY AND MANAGEMENT,10.1016/j.foreco.2019.05.073,http://doi.org/10.1016/j.foreco.2019.05.073,AA
