Lake,Latitude,Longitude,Cat
Kai-iwi,35°49′S, 173°40′E,Native
Waikere,35°48′S, 173°38′E,Native
Humuhumu,36°20′S, 174°07′E,Native
Parkinson,37°19′S, 174°41′E,Native
Rotomahana,38°16′S, 176°29′E,Native
Owhareiti,35°23′S, 173°57′E,Hydro
Whatihua,37°17′S, 174°41′E,Hydro
Pikopiko,37°40′S, 175°12′E,Hydro
Rotomanuka,37°56′S, 175°19′E,Hydro
Waikapiro,39°16′S, 176°52′E,Hydro
Waingata,36°21′S, 174°09′E,Deveg
Hakanoa,37°34′S, 175°10′E,Deveg
Waahi,37°34′S, 175°08′E,Deveg
Rotoroa,37°48′S, 175°16′E,Deveg
Eland,39°21′S, 176°44′E,Deveg
