"Authors","Year","Title","Journal","Doi","URL","Human","No.access","Lat_Deg","Lon_Deg","Location","country"
"Maccherini, S; Santi, E; Torri, D",2019,"Germinable Soil Seed Bank in Biancana Badlands","DIVERSITY-BASEL","10.3390/d11120223","http://doi.org/10.3390/d11120223","AA","",43.2666666666667,11.4166666666667,"","Italy"
"Maccherini, S; Santi, E; Torri, D",2019,"Germinable Soil Seed Bank in Biancana Badlands","DIVERSITY-BASEL","10.3390/d11120223","http://doi.org/10.3390/d11120223","AA","",43.2666666666667,11.4166666666667,"","Italy"
"Maccherini, S; Santi, E; Torri, D",2019,"Germinable Soil Seed Bank in Biancana Badlands","DIVERSITY-BASEL","10.3390/d11120223","http://doi.org/10.3390/d11120223","AA","",43.2666666666667,11.4166666666667,"","Italy"
"Maccherini, S; Santi, E; Torri, D",2019,"Germinable Soil Seed Bank in Biancana Badlands","DIVERSITY-BASEL","10.3390/d11120223","http://doi.org/10.3390/d11120223","AA","",43.2666666666667,11.4166666666667,"","Italy"
"Chu, H; Zhang, CP; Dong, QM; Shang, ZH; Degen, AA; Yang, XX; Yu, Y; Yang, ZZ; Zhang, YF",2019,"The effect of grazing intensity and season on the soil seed bank and its relation with above-ground vegetation on the alpine steppe","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","10.1016/j.agee.2019.106622","http://doi.org/10.1016/j.agee.2019.106622","AA","",37.35,100.066666666667,"","China"
"Guan, B; Chen, M; Elsey-Quirk, T; Yang, SS; Shang, WT; Li, YZ; Tian, XY; Han, GX",2019,"Soil seed bank and vegetation differences following channel diversion in the Yellow River Delta","SCIENCE OF THE TOTAL ENVIRONMENT","10.1016/j.scitotenv.2019.133600","http://doi.org/10.1016/j.scitotenv.2019.133600","AA","",37.8833333333333,118.933333333333,"","China"
"Grewel, BJ; Gillard, MB; Futrell, CJ; Castillo, JM",2019,"Seedling Emergence from Seed Banks in Ludwigia hexapetala-Invaded Wetlands: Implications for Restoration","PLANTS-BASEL","10.3390/plants8110451","http://doi.org/10.3390/plants8110451","AA","",38.4333333333333,-122.716666666667,"","United States"
"Omomoh, B; Adekunle, V; Lawal, A; Akinbi, O",2019,"Tree species diversity and regeneration potential of soil seed bank in Akure forest reserve, Ondo state, Nigeria","TAIWANIA","10.6165/tai.2019.64.409","http://doi.org/10.6165/tai.2019.64.409","AA","",7.26666666666667,5.03333333333333,"","Nigeria"
"Malfasi, F; Convey, P; Zaccara, S; Cannone, N",NA,"Establishment and eradication of an alien plant species in Antarctica: Poa annua at Signy Island","BIODIVERSITY AND CONSERVATION","10.1007/s10531-019-01877-7","http://doi.org/10.1007/s10531-019-01877-7","AA","",-60.7166666666667,-45.6,"","Antarctica"
"Rengifo-Faiffer, MC; Arana, C",2019,"Fossorial birds help shape the plant community of a Peruvian desert","JOURNAL OF ARID ENVIRONMENTS","10.1016/j.jaridenv.2019.104011","http://doi.org/10.1016/j.jaridenv.2019.104011","AA","",-11.4,-77.3833333333333,"","Peru"
"Lanta, V; Mudrak, O; Liancourt, P; Bartos, M; Chlumska, Z; Dvorsky, M; Pusztaiova, Z; Munzbergova, Z; Sebek, P; Cizek, L; Dolezal, J",2019,"Active management promotes plant diversity in lowland forests: A landscape-scale experiment with two types of clearings","FOREST ECOLOGY AND MANAGEMENT","10.1016/j.foreco.2019.05.073","http://doi.org/10.1016/j.foreco.2019.05.073","AA","",48.8333333333333,15.8833333333333,"","Czechia"
"Lanta, V; Mudrak, O; Liancourt, P; Bartos, M; Chlumska, Z; Dvorsky, M; Pusztaiova, Z; Munzbergova, Z; Sebek, P; Cizek, L; Dolezal, J",2019,"Active management promotes plant diversity in lowland forests: A landscape-scale experiment with two types of clearings","FOREST ECOLOGY AND MANAGEMENT","10.1016/j.foreco.2019.05.073","http://doi.org/10.1016/j.foreco.2019.05.073","AA","",48.8333333333333,15.8833333333333,"","Czechia"
"Gu, X; Cen, Y; Guo, LY; Li, CH; Yuan, H; Xu, ZW; Jiang, GM",2019,"Responses of weed community, soil nutrients, and microbes to different weed management practices in a fallow field in Northern China","PEERJ","10.7717/peerj.7650","http://doi.org/10.7717/peerj.7650","JP","",39.5666666666667,116.983333333333,"","China"
"Mndela, M; Madakadze, IC; Nherera-Chokuda, F; Dube, S",2019,"Dynamics of the soil seed bank over the short-term after bush clearing in a semi-arid shrubland in Springbokvlakte thornveld of South Africa","SOUTH AFRICAN JOURNAL OF BOTANY","10.1016/j.sajb.2019.07.033","http://doi.org/10.1016/j.sajb.2019.07.033","JP","",-25.2333333333333,28.1166666666667,"","South Africa"
"Castle, S; Rejmankova, E; Foley, J; Parmenter, S",2019,"Hydrologic alterations impact plant litter decay rate and ecosystem resilience in Mojave wetlands","RESTORATION ECOLOGY","10.1111/rec.12959","http://doi.org/10.1111/rec.12959","JP","",35.8666666666667,-116.216666666667,"","United States"
"Zhong, MX; Miao, Y; Han, SJ; Wang, D",2019,"Nitrogen addition decreases seed germination in a temperate steppe","ECOLOGY AND EVOLUTION","10.1002/ece3.5151","http://doi.org/10.1002/ece3.5151","JP","",42.0333333333333,116.283333333333,"","China"
"Baskin, CC; Baskin, JM; Chester, EW",2019,"Long-term persistence of summer annuals in soil seed banks of seasonally dewatered mudflats","PLANT ECOLOGY","10.1007/s11258-019-00948-7","http://doi.org/10.1007/s11258-019-00948-7","JP","",36.6666666666667,-87.9166666666667,"","United States"
