"Authors","Year","Title","Journal","Doi","URL","Human","No.access","Lat_Deg","Lon_Deg","Location","Habitat","Target_Habitat","Experiment","Sample_Diameter_mm","Sample_Area_mm2","Sample_Depth_mm","Sample_Volume_mm3","Sample_Weight_g","Number_Sites","Samples_Per_Site","Total_Number_Samples","Method","Method_Volume_mm3","Method_Volume_Fraction","Method_Weight_g","Total_Seeds","Total_Species","Seed_density_m2","Seed_density_litre","Pos_Species","Neg_Species","Comments","Action.required","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","Total_sampled_area_m2","Species_Density_m2"
"He, YH; Gao, PL; Qiang, S",2019,"An investigation of weed seed banks reveals similar potential weed community diversity among three different farmland types in Anhui Province, China","JOURNAL OF INTEGRATIVE AGRICULTURE","10.1016/S2095-3119(18)62073-8","http://doi.org/10.1016/S2095-3119(18)62073-8","JP","",30.95,117.783333333333,"Anhui province, China","Arable","",NA,50,1963.49540849362,150,294524.311274043,NA,228,500,114000,"Emergence & Extraction",NA,NA,NA,NA,174,NA,NA,NA,NA,"","Check plot number! 228 sites * 10 quadrats * 50 samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.838476568273,0.777346248364626
"Valenta, K; Steffens, TS; Rafaliarison, RR; Chapman, CA; Lehman, SM",2015,"Seed Banks in Savanna, Forest Fragments, and Continuous Forest Edges Differ in a Tropical Dry Forest in Madagascar","BIOTROPICA","10.1111/btp.12228","http://doi.org/10.1111/btp.12228","NSH","",-16.3166666666667,46.7,"northwestern Madagascar","Forest","Forest",NA,NA,1e+06,300,3e+08,NA,1,120,120,"Extraction",NA,NA,NA,506,92,4.21666666666667,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,0.766666666666667
"Chami, LB; Araujo, MM; Longhi, SJ; Kielse, P; Lucio, AD",2011,"Mechanisms of natural regeneration in different environments in the remaining Mixed Rain Forest, Sao Francisco de Paula, RS","CIENCIA RURAL","10.1590/S0103-84782011000200012","http://doi.org/10.1590/S0103-84782011000200012","AA","",-29.4166666666667,-50.3833333333333,"São Francisco de Paula, Brazil","Forest","",NA,NA,62500,50,3125000,NA,6,1536,9216,"Emergence",NA,NA,NA,NA,59,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576,0.102430555555556
"DeFalco, LA; Esque, TC; Kane, JM; Nicklas, MB",2009,"Seed banks in a degraded desert shrubland: Influence of soil surface condition and harvester ant activity on seed abundance","JOURNAL OF ARID ENVIRONMENTS","10.1016/j.jaridenv.2009.04.017","http://doi.org/10.1016/j.jaridenv.2009.04.017","AA","",35.3487,-116.5752,"Fort Irwin National Training Center, California USA","Grassland","Grassland",NA,NA,1e+06,20,2e+07,NA,6,30,180,"Emergence",NA,NA,NA,11000,30,61.1111111111111,NA,NA,6,"Non-natives","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,0.166666666666667
"Zang, RG; Ding, Y; Zhang, WY",2008,"Seed dynamics in relation to gaps in a tropical montane rainforest of Hainan Island, South China: (II) seed bank","JOURNAL OF INTEGRATIVE PLANT BIOLOGY","10.1111/j.1744-7909.2008.00662.x","http://doi.org/10.1111/j.1744-7909.2008.00662.x","JK","",18.958,19.25,"Hainan, China","Forest","",NA,NA,320000,50,1.6e+07,NA,26,16,416,"Emergence",NA,NA,NA,NA,124,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.12,0.931490384615385
"Zang, RG; Ding, Y; Zhang, WY",2008,"Seed dynamics in relation to gaps in a tropical montane rainforest of Hainan Island, South China: (II) seed bank","JOURNAL OF INTEGRATIVE PLANT BIOLOGY","10.1111/j.1744-7909.2008.00662.x","http://doi.org/10.1111/j.1744-7909.2008.00662.x","JK","",18.958,19.25,"Hainan, China","Forest","",NA,NA,320000,50,1.6e+07,NA,26,16,416,"Emergence",NA,NA,NA,NA,140,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.12,1.05168269230769
"Zang, RG; Ding, Y; Zhang, WY",2008,"Seed dynamics in relation to gaps in a tropical montane rainforest of Hainan Island, South China: (II) seed bank","JOURNAL OF INTEGRATIVE PLANT BIOLOGY","10.1111/j.1744-7909.2008.00662.x","http://doi.org/10.1111/j.1744-7909.2008.00662.x","JK","",18.958,19.25,"Hainan, China","Forest","",NA,NA,320000,50,1.6e+07,NA,26,16,416,"Emergence",NA,NA,NA,NA,138,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.12,1.03665865384615
"Hawes, C; Squire, GR; Hallett, PD; Watson, CA; Young, M",2010,"Arable plant communities as indicators of farming practice","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","10.1016/j.agee.2010.03.010","http://doi.org/10.1016/j.agee.2010.03.010","EL","",57.284153,-2.684228,"Aberdeenshire, north-east Scotland","Arable","",NA,NA,5e+05,150,7.5e+07,NA,22,42,924,"Emergence",9.24e+08,NA,NA,NA,NA,12786,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,462,NA
"Hawes, C; Squire, GR; Hallett, PD; Watson, CA; Young, M",2010,"Arable plant communities as indicators of farming practice","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","10.1016/j.agee.2010.03.010","http://doi.org/10.1016/j.agee.2010.03.010","EL","",56.24308,-3.094069,"Tayside/Fife, middle-east Scotland","Arable","",NA,NA,5e+05,150,7.5e+07,NA,19,42,798,"Emergence",7.98e+08,NA,NA,NA,NA,8634,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399,NA
"Hawes, C; Squire, GR; Hallett, PD; Watson, CA; Young, M",2010,"Arable plant communities as indicators of farming practice","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","10.1016/j.agee.2010.03.010","http://doi.org/10.1016/j.agee.2010.03.010","EL","",55.729365,-3.082661,"Lothian and Borders region, south-east Scotland","Arable","",NA,NA,5e+05,150,7.5e+07,NA,16,42,672,"Emergence",6.72e+08,NA,NA,NA,NA,7472,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,NA
