"Authors","Year","Title","Journal","Doi","URL","Human","No access","Lat_Deg","Lat_Min","Lat_Sec","Lat_NS","Lon_Deg","Lon_Min","Lon_Sec","Lon_EW","Location","Habitat","Target_Habitat","Experiment","Sample_Diameter_mm","Sample_Area_mm2","Sample_Depth_mm","Sample_Volume_mm3","Sample_Weight_g","Number_Sites","Samples_Per_Site","Total_Number_Samples","Method","Method_Volume_mm3","Method_Volume_Fraction","Method_Weight_g","Total_Seeds","Total_Species","Seed_density_m2","Seed_density_litre","Pos_Species","Neg_Species","Comments","Action required","","","","","","","","","","","","","",""
"Val, J; Travers, SK; Eldridge DJ","2020","Perennial plant patches are sinks for seeds in semi‐arid woodlands in varying condition","APPLIED VEGETATION SCIENCE","10.1111/avsc.12486","https://doi.org/10.1111/avsc.12486","JP","","-33.04731","","","","145.211723","","","","Central and southern New South Wales","Forest","Forest","","","","50","","","54","40","2160","Emergence","","","32400","24651","192","","","","78","Exotic species; Natural communities but various degrees of degradation","","","","","","","","","","","","","","",""
"Kompe, YO; Mutlu, VA; Ozkoc, I","","The viability of Anacamptis laxiflora (Orchidaceae) seeds and the symbiotic germination","PLANT BIOSYSTEMS","10.1080/11263504.2019.1701118","http://doi.org/10.1080/11263504.2019.1701118","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shapiro-Garza, E; King, D; Rivera-Aguirre, A; Wang, S; Finley-Lezcano, J","","A participatory framework for feasibility assessments of climate change resilience strategies for smallholders: lessons from coffee cooperatives in Latin America","INTERNATIONAL JOURNAL OF AGRICULTURAL SUSTAINABILITY","10.1080/14735903.2019.1658841","http://doi.org/10.1080/14735903.2019.1658841","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tan, ZX; Koh, JM; Koonin, EV; Cheong, KH","","Predator Dormancy is a Stable Adaptive Strategy due to Parrondo's Paradox","ADVANCED SCIENCE","10.1002/advs.201901559","http://doi.org/10.1002/advs.201901559","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Garrouj, M; Alard, D; Corcket, E; Marchand, L; Benot, ML","","The effects of management on vegetation trajectories during the early-stage restoration of previously arable land after hay transfer","ECOLOGY AND EVOLUTION","10.1002/ece3.5798","http://doi.org/10.1002/ece3.5798","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Le Breton, TD; Natale, S; French, K; Gooden, B; Ooi, MKJ","","Fire-adapted traits of threatened shrub species in riparian refugia: implications for fire regime management","PLANT ECOLOGY","10.1007/s11258-019-00993-2","http://doi.org/10.1007/s11258-019-00993-2","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Martini, F; Zou, CB; Goodale, UM","","Intrinsic biotic factors and microsite conditions drive seedling survival in a species with masting reproduction","ECOLOGY AND EVOLUTION","10.1002/ece3.5861","http://doi.org/10.1002/ece3.5861","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Xu, GF; Shen, SC; Zhang, Y; Clements, DR; Yang, SS; Li, J; Dong, LY; Zhang, FD; Jin, GM; Gao, Y","2019","Designing Cropping Systems to Improve the Management of the Invasive Weed Phalaris minor Retz.","AGRONOMY-BASEL","10.3390/agronomy9120809","http://doi.org/10.3390/agronomy9120809","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gonzalez, K; Parra, B; Smith, CT; Martinez, M","2019","Glycine Betaine Effect on Dormancy in Deinococcus sp. UDEC-P1 and Psychrobacter sp. UDEC-A5 Exposed to Hyperosmotic Stress","CURRENT MICROBIOLOGY","10.1007/s00284-019-01763-z","http://doi.org/10.1007/s00284-019-01763-z","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maccherini, S; Santi, E; Torri, D","2019","Germinable Soil Seed Bank in Biancana Badlands","DIVERSITY-BASEL","10.3390/d11120223","http://doi.org/10.3390/d11120223","AA","","43","16","35","N","11","25","56","E","","Grassland","","","30","","50","","","5","","180","Emergence","","","","6","3","","","","","","","","","","","","","","","","","","","",""
"Maccherini, S; Santi, E; Torri, D","2019","Germinable Soil Seed Bank in Biancana Badlands","DIVERSITY-BASEL","10.3390/d11120223","http://doi.org/10.3390/d11120223","AA","","43","16","35","N","11","25","56","E","","Grassland","","","30","","50","","","5","","180","Emergence","","","","35","10","","","","","","","","","","","","","","","","","","","",""
"Maccherini, S; Santi, E; Torri, D","2019","Germinable Soil Seed Bank in Biancana Badlands","DIVERSITY-BASEL","10.3390/d11120223","http://doi.org/10.3390/d11120223","AA","","43","16","35","N","11","25","56","E","","Grassland","","","30","","50","","","5","","180","Emergence","","","","86","20","","","","","","","","","","","","","","","","","","","",""
"Maccherini, S; Santi, E; Torri, D","2019","Germinable Soil Seed Bank in Biancana Badlands","DIVERSITY-BASEL","10.3390/d11120223","http://doi.org/10.3390/d11120223","AA","","43","16","35","N","11","25","56","E","","Grassland","Grassland","","30","","50","","","5","","120","Emergence","","","","56","20","","","","","","","","","","","","","","","","","","","",""
"dos Santos, VJ; de Almeida , ES; Caiafa, AN; Medeiros, AO","2019","The effectiveness of restoration evaluated by the litterfall and leaf decomposition","SCIENTIA FORESTALIS","10.18671/scifor.v47n124.08","http://doi.org/10.18671/scifor.v47n124.08","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Paulo, D; Diekmann, O; Ramos, AA; Alberto, F; Serrao, EA","2019","Sexual reproduction vs. clonal propagation in the recovery of a seagrass meadow after an extreme weather event","SCIENTIA MARINA","10.3989/scimar.04843.06A","http://doi.org/10.3989/scimar.04843.06A","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ma, XY; Ma, YJ; Wu, HW; Ren, XL; Jiang, WL; Ma, Y","2019","Emergence timing affects growth and reproduction of goosegrass (Eleusine indica)","WEED TECHNOLOGY","10.1017/wet.2019.61","http://doi.org/10.1017/wet.2019.61","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
